,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
68,0.9749671,15.4256,576.0,5,2,16,3,BNCI2014-009,BTTDA
69,0.88047695,5.6161504,576.0,6,0,16,3,BNCI2014-009,HODA
70,0.92136514,2.433404,576.0,6,1,16,3,BNCI2014-009,HODA
71,0.9335636,2.3584337,576.0,6,2,16,3,BNCI2014-009,HODA
72,0.88451207,16.060574,576.0,6,0,16,3,BNCI2014-009,PARAFACDA
73,0.92030704,13.89106,576.0,6,1,16,3,BNCI2014-009,PARAFACDA
74,0.93839914,12.914936,576.0,6,2,16,3,BNCI2014-009,PARAFACDA
75,0.8866612,14.693423,576.0,6,0,16,3,BNCI2014-009,BTTDA
76,0.92711073,14.956068,576.0,6,1,16,3,BNCI2014-009,BTTDA
77,0.9452028,13.16846,576.0,6,2,16,3,BNCI2014-009,BTTDA
78,0.9412774,6.00122,576.0,7,0,16,3,BNCI2014-009,HODA
79,0.9486239,2.565209,576.0,7,1,16,3,BNCI2014-009,HODA
80,0.90112936,2.286837,576.0,7,2,16,3,BNCI2014-009,HODA
81,0.9335526,13.550623,576.0,7,0,16,3,BNCI2014-009,PARAFACDA
82,0.9379386,13.922777,576.0,7,1,16,3,BNCI2014-009,PARAFACDA
83,0.8683059,13.705905,576.0,7,2,16,3,BNCI2014-009,PARAFACDA
84,0.93629384,14.550029,576.0,7,0,16,3,BNCI2014-009,BTTDA
85,0.9387829,12.634194,576.0,7,1,16,3,BNCI2014-009,BTTDA
86,0.89607453,15.398007,576.0,7,2,16,3,BNCI2014-009,BTTDA
87,0.93958884,6.020163,576.0,8,0,16,3,BNCI2014-009,HODA
88,0.90901315,3.1018016,576.0,8,1,16,3,BNCI2014-009,HODA
89,0.8904057,3.0790973,576.0,8,2,16,3,BNCI2014-009,HODA
90,0.9474397,19.566322,576.0,8,0,16,3,BNCI2014-009,PARAFACDA
91,0.8799616,15.176546,576.0,8,1,16,3,BNCI2014-009,PARAFACDA
92,0.8852522,14.429656,576.0,8,2,16,3,BNCI2014-009,PARAFACDA
93,0.9382675,17.672493,576.0,8,0,16,3,BNCI2014-009,BTTDA
94,0.9048081,16.56501,576.0,8,1,16,3,BNCI2014-009,BTTDA
95,0.87417763,15.491785,576.0,8,2,16,3,BNCI2014-009,BTTDA
96,0.9845504,6.285057,576.0,9,0,16,3,BNCI2014-009,HODA
97,0.96042216,3.1506438,576.0,9,1,16,3,BNCI2014-009,HODA
98,0.9278564,2.9068313,576.0,9,2,16,3,BNCI2014-009,HODA
99,0.9883059,18.654236,576.0,9,0,16,3,BNCI2014-009,PARAFACDA
100,0.9717818,14.1491785,576.0,9,1,16,3,BNCI2014-009,PARAFACDA
101,0.95050985,13.598,576.0,9,2,16,3,BNCI2014-009,PARAFACDA
102,0.98323464,17.419052,576.0,9,0,16,3,BNCI2014-009,BTTDA
103,0.97348684,12.992379,576.0,9,1,16,3,BNCI2014-009,BTTDA
104,0.9505921,11.482867,576.0,9,2,16,3,BNCI2014-009,BTTDA
105,0.9852522,6.0422773,576.0,10,0,16,3,BNCI2014-009,HODA
106,0.98233,2.434804,576.0,10,1,16,3,BNCI2014-009,HODA
107,0.97604716,2.6465294,576.0,10,2,16,3,BNCI2014-009,HODA
108,0.9874726,12.905932,576.0,10,0,16,3,BNCI2014-009,PARAFACDA
109,0.9857566,13.474299,576.0,10,1,16,3,BNCI2014-009,PARAFACDA
110,0.96612936,13.856695,576.0,10,2,16,3,BNCI2014-009,PARAFACDA
111,0.9902851,13.758734,576.0,10,0,16,3,BNCI2014-009,BTTDA
112,0.98896384,17.006914,576.0,10,1,16,3,BNCI2014-009,BTTDA
113,0.9741722,15.73222,576.0,10,2,16,3,BNCI2014-009,BTTDA
114,0.7616571,2.6525214,5400.0,1,0,8,1,BNCI2015-003,HODA
115,0.77749205,14.433338,5400.0,1,0,8,1,BNCI2015-003,PARAFACDA
116,0.7860317,24.137487,5400.0,1,0,8,1,BNCI2015-003,BTTDA
117,0.9346984,4.1891947,5400.0,2,0,8,1,BNCI2015-003,HODA
118,0.93586034,12.815033,5400.0,2,0,8,1,BNCI2015-003,PARAFACDA
119,0.9364381,19.720118,5400.0,2,0,8,1,BNCI2015-003,BTTDA
120,0.7782556,3.9289,1800.0,3,0,8,1,BNCI2015-003,HODA
121,0.8047,13.874914,1800.0,3,0,8,1,BNCI2015-003,PARAFACDA
122,0.8234111,16.851421,1800.0,3,0,8,1,BNCI2015-003,BTTDA
123,0.8320444,4.0824437,1800.0,4,0,8,1,BNCI2015-003,HODA
124,0.8692,13.962646,1800.0,4,0,8,1,BNCI2015-003,PARAFACDA
125,0.8654778,16.104216,1800.0,4,0,8,1,BNCI2015-003,BTTDA
126,0.8305778,3.8886569,1800.0,5,0,8,1,BNCI2015-003,HODA
127,0.8518,14.26664,1800.0,5,0,8,1,BNCI2015-003,PARAFACDA
128,0.8477778,18.60257,1800.0,5,0,8,1,BNCI2015-003,BTTDA
129,0.6856111,4.1668587,1800.0,6,0,8,1,BNCI2015-003,HODA
130,0.6721445,12.510331,1800.0,6,0,8,1,BNCI2015-003,PARAFACDA
131,0.6905,18.865425,1800.0,6,0,8,1,BNCI2015-003,BTTDA
132,0.8122778,4.0143604,1800.0,7,0,8,1,BNCI2015-003,HODA
133,0.8289111,12.306024,1800.0,7,0,8,1,BNCI2015-003,PARAFACDA
134,0.83025557,18.096222,1800.0,7,0,8,1,BNCI2015-003,BTTDA
135,0.89717776,4.014485,1800.0,8,0,8,1,BNCI2015-003,HODA
136,0.90655553,12.756013,1800.0,8,0,8,1,BNCI2015-003,PARAFACDA
137,0.9146444,16.294857,1800.0,8,0,8,1,BNCI2015-003,BTTDA
138,0.872,4.061048,1800.0,9,0,8,1,BNCI2015-003,HODA
139,0.9031778,11.916936,1800.0,9,0,8,1,BNCI2015-003,PARAFACDA
140,0.9025,15.24873,1800.0,9,0,8,1,BNCI2015-003,BTTDA
141,0.8846222,2.043063,1800.0,10,0,8,1,BNCI2015-003,HODA
142,0.89666665,12.41771,1800.0,10,0,8,1,BNCI2015-003,PARAFACDA
143,0.8992111,13.167124,1800.0,10,0,8,1,BNCI2015-003,BTTDA
144,0.9043702,75.03338,768.0,1,0,16,1,BrainInvaders2012,HODA
145,0.94789183,79.53615,768.0,1,0,16,1,BrainInvaders2012,PARAFACDA
146,0.939226,94.06835,768.0,1,0,16,1,BrainInvaders2012,BTTDA
147,0.91992944,70.33158,764.0,2,0,16,1,BrainInvaders2012,HODA
148,0.94416803,46.784184,764.0,2,0,16,1,BrainInvaders2012,PARAFACDA
149,0.9427841,98.68881,764.0,2,0,16,1,BrainInvaders2012,BTTDA
150,0.9255048,47.06064,768.0,3,0,16,1,BrainInvaders2012,HODA
151,0.9408413,60.425323,768.0,3,0,16,1,BrainInvaders2012,PARAFACDA
152,0.93877405,100.71906,768.0,3,0,16,1,BrainInvaders2012,BTTDA
153,0.9635075,64.18003,765.0,4,0,16,1,BrainInvaders2012,HODA
154,0.9667102,57.895134,765.0,4,0,16,1,BrainInvaders2012,PARAFACDA
155,0.9655968,108.256096,765.0,4,0,16,1,BrainInvaders2012,BTTDA
