,subject,dataset,fold,theta,n_blocks,train_score,test_score,train_mse,test_mse
0,7,BNCI2014-008,0,0.075,1,0.8505195319124881,0.8688979591836734,0.995642082193881,0.9391535875295168
1,7,BNCI2014-008,0,0.075,2,0.8722939680027136,0.8506122448979592,0.9904435577971898,0.9365273395522569
2,7,BNCI2014-008,0,0.075,3,0.8914986714907569,0.8586122448979592,0.9872991374126349,0.9354447910504496
3,7,BNCI2014-008,0,0.075,4,0.8916438464582509,0.8600816326530611,0.9857688776974443,0.9328461336471114
4,7,BNCI2014-008,0,0.075,5,0.8926962519079653,0.8511020408163266,0.9829436322424245,0.9304057457251431
5,7,BNCI2014-008,0,0.075,6,0.89429724687659,0.8502857142857143,0.980977761324962,0.9295298940430815
6,7,BNCI2014-008,0,0.075,7,0.8956078919102266,0.8473469387755102,0.9790745880327771,0.9278036994260299
7,7,BNCI2014-008,0,0.075,8,0.8956323138673753,0.8476734693877551,0.9787003409367155,0.9275740678006821
8,7,BNCI2014-008,0,0.075,9,0.896154672395274,0.8478367346938775,0.9785939885294181,0.9275202017233484
9,7,BNCI2014-008,0,0.075,10,0.896350048052462,0.851265306122449,0.9773690639198573,0.9270755437106503
10,7,BNCI2014-008,0,0.075,11,0.8985380745095823,0.8574693877551021,0.9760813410821504,0.9272420216809425
11,7,BNCI2014-008,0,0.075,12,0.9021574990106846,0.8530612244897959,0.9712020184710528,0.92148464677842
12,7,BNCI2014-008,0,0.075,13,0.9020941828254846,0.854204081632653,0.9705203907014641,0.9208422279013695
13,7,BNCI2014-008,0,0.075,14,0.9021416699643847,0.8546938775510204,0.969999964395997,0.9201412205167596
14,7,BNCI2014-008,0,0.075,15,0.9021742325739159,0.8545306122448979,0.9697877439738742,0.9200917871697815
15,7,BNCI2014-008,0,0.075,16,0.9023655379049126,0.8532244897959185,0.9682958097277128,0.9203492128131617
16,7,BNCI2014-008,1,0.075,1,0.8512065125219064,0.858938775510204,0.9954877237931402,0.9172105520178371
17,7,BNCI2014-008,1,0.075,2,0.8721062807394426,0.8680816326530613,0.9901656524355273,0.9114319733140012
18,7,BNCI2014-008,1,0.075,3,0.8916035954548023,0.8950204081632653,0.9866722746857297,0.9091157948042987
19,7,BNCI2014-008,1,0.075,4,0.8919378144609645,0.8940408163265307,0.9848486707996494,0.9057777662188576
20,7,BNCI2014-008,1,0.075,5,0.8939869975691108,0.9080816326530612,0.9831426262463385,0.9042619723606657
21,7,BNCI2014-008,1,0.075,6,0.8960303013172026,0.9100408163265306,0.980746227852034,0.9025461748174605
22,7,BNCI2014-008,1,0.075,7,0.8962170840635422,0.9113469387755102,0.9784194755271405,0.900001153090896
23,7,BNCI2014-008,1,0.075,8,0.8965861269715641,0.910204081632653,0.9778900831911133,0.8997984156669455
24,7,BNCI2014-008,1,0.075,9,0.8966295437842727,0.9110204081632652,0.9775371606205323,0.8995524428173407
25,7,BNCI2014-008,1,0.075,10,0.8967697439086438,0.9116734693877551,0.9774040007100268,0.8997832956149281
26,7,BNCI2014-008,1,0.075,11,0.8967661258409181,0.9100408163265307,0.9770753624040402,0.8991812983680261
27,7,BNCI2014-008,1,0.075,12,0.8968981853129063,0.9095510204081633,0.9769998049233142,0.8990459504958801
28,7,BNCI2014-008,1,0.075,13,0.8973861721974108,0.9093877551020408,0.9768560005167951,0.8991077271787861
29,7,BNCI2014-008,1,0.075,14,0.8975670755836961,0.9085714285714286,0.9767884182902692,0.8992192010952378
30,7,BNCI2014-008,1,0.075,15,0.8977407428345299,0.9087346938775511,0.976651170975906,0.898966412163805
31,7,BNCI2014-008,1,0.075,16,0.8987904347334502,0.9100408163265306,0.9756312851343831,0.8992681641951307
32,7,BNCI2014-008,2,0.075,1,0.8553247781106903,0.7608163265306122,0.9953803212789106,0.9634590924276201
33,7,BNCI2014-008,2,0.075,2,0.8743784272711854,0.8026122448979592,0.9902489634690674,0.9615861389800945
34,7,BNCI2014-008,2,0.075,3,0.8934388603086664,0.8181224489795919,0.9869150178771872,0.9604278220342267
35,7,BNCI2014-008,2,0.075,4,0.8941086550963877,0.8200816326530612,0.9853778301440927,0.9591214575087399
36,7,BNCI2014-008,2,0.075,5,0.8961130646164284,0.827265306122449,0.9833810254316044,0.9574869632136368
37,7,BNCI2014-008,2,0.075,6,0.8959090960483915,0.8275918367346938,0.9808643026508505,0.9544731822985156
38,7,BNCI2014-008,2,0.075,7,0.8977606422070213,0.825795918367347,0.979607917931645,0.9529031678319031
39,7,BNCI2014-008,2,0.075,8,0.8977393860591328,0.825795918367347,0.9793219451637716,0.9527424118039217
40,7,BNCI2014-008,2,0.075,9,0.8978818474758324,0.8241632653061224,0.9792366181366461,0.9525946903502879
41,7,BNCI2014-008,2,0.075,10,0.8998342472723162,0.8251428571428572,0.9784473945434496,0.9519510036352418
42,7,BNCI2014-008,2,0.075,11,0.899861382780259,0.8261224489795919,0.9782430826858642,0.9520462690450543
43,7,BNCI2014-008,2,0.075,12,0.8999142970207474,0.8243265306122449,0.9773165774183744,0.9513013661683425
44,7,BNCI2014-008,2,0.075,13,0.9013963480128893,0.8333061224489796,0.9725065942446898,0.9474201312226171
45,7,BNCI2014-008,2,0.075,14,0.9047760755271638,0.8421224489795918,0.9694936330897221,0.9476540431155921
46,7,BNCI2014-008,2,0.075,15,0.9051139126010515,0.8442448979591837,0.9682858915312493,0.9468553168915634
47,7,BNCI2014-008,2,0.075,16,0.9073127932613488,0.8421224489795919,0.9658699342898672,0.946671973284267
48,7,BNCI2014-008,3,0.075,1,0.8530996664593816,0.8220408163265306,0.9955298654362212,1.1493086269794472
