,subject,dataset,fold,theta,n_blocks,train_score,test_score,train_mse,test_mse
0,5,BNCI2014-008,0,0.25,1,0.8522340437560064,0.8256326530612245,0.9863092002360002,1.0156639556791476
1,5,BNCI2014-008,0,0.25,2,0.857466221945842,0.8364081632653061,0.9838459436790129,1.0141417942752269
2,5,BNCI2014-008,0,0.25,3,0.8577104415173272,0.8362448979591837,0.9827191576655425,1.0136986641905672
3,5,BNCI2014-008,0,0.25,4,0.8600942958901011,0.8321632653061224,0.981839085910446,1.014939129850821
4,5,BNCI2014-008,0,0.25,5,0.8601793204816552,0.8326530612244897,0.9817096065979588,1.0148200723913803
5,5,BNCI2014-008,0,0.25,6,0.8769888631352818,0.8354285714285715,0.9714076035064011,1.0052510252529836
6,5,BNCI2014-008,0,0.25,7,0.8822196845497201,0.8306938775510204,0.9680465826717315,1.0046779076197738
7,5,BNCI2014-008,0,0.25,8,0.8823707388772684,0.830530612244898,0.9669387068163102,1.005123530658683
8,5,BNCI2014-008,0,0.25,9,0.8821405393182203,0.8324897959183674,0.965168786944857,1.005538832493312
9,5,BNCI2014-008,0,0.25,10,0.8820690824806378,0.8321632653061225,0.9645963995750055,1.005178307235535
10,5,BNCI2014-008,0,0.25,11,0.882065464412912,0.8321632653061225,0.9619975839350082,1.001837778853418
11,5,BNCI2014-008,0,0.25,12,0.882253151676183,0.8311836734693877,0.9612934562932601,1.0017632790351139
12,5,BNCI2014-008,0,0.25,13,0.8817054666742044,0.832,0.957433883147977,0.999315772766162
13,5,BNCI2014-008,0,0.25,14,0.8831291763242693,0.8303673469387755,0.9496179495982796,0.9878802216856911
14,5,BNCI2014-008,0,0.25,15,0.8902956639719599,0.8200816326530612,0.9443264549800974,0.98125168697747
15,5,BNCI2014-008,0,0.25,16,0.8904697834812596,0.8187755102040816,0.9424268416647068,0.9783759147270754
16,5,BNCI2014-008,1,0.25,1,0.8471511108598564,0.8933877551020408,0.985452651777766,0.9571518468132552
17,5,BNCI2014-008,1,0.25,2,0.853327604726101,0.9023673469387755,0.9816990514639256,0.9540054742149305
18,5,BNCI2014-008,1,0.25,3,0.8562876363841937,0.9036734693877551,0.9775517448673576,0.9484434173352169
19,5,BNCI2014-008,1,0.25,4,0.856293515744248,0.9053061224489796,0.9726909451371536,0.9471213997251668
20,5,BNCI2014-008,1,0.25,5,0.8585543558143478,0.8979591836734694,0.9677150685912713,0.9394678824204188
21,5,BNCI2014-008,1,0.25,6,0.8599699248120302,0.8995918367346938,0.966927902250664,0.9373090788995969
22,5,BNCI2014-008,1,0.25,7,0.8599830403075357,0.8997551020408163,0.9663678431264492,0.9369928084754906
23,5,BNCI2014-008,1,0.25,8,0.86054067499576,0.8966530612244897,0.9618008434227966,0.9361048278680499
24,5,BNCI2014-008,1,0.25,9,0.8624270450562497,0.8938775510204082,0.9594852750011548,0.9345801539466729
25,5,BNCI2014-008,1,0.25,10,0.8637716094748149,0.8909387755102041,0.9559895859816621,0.928998831138393
26,5,BNCI2014-008,1,0.25,11,0.8638683927864776,0.8904489795918367,0.9530614160356474,0.927495524685135
27,5,BNCI2014-008,1,0.25,12,0.8655756684945446,0.8948571428571428,0.9500313815078364,0.9227255627714417
28,5,BNCI2014-008,1,0.25,13,0.8656824014924531,0.8940408163265305,0.9480694508897622,0.9214976999005032
29,5,BNCI2014-008,1,0.25,14,0.8662531516761829,0.8946938775510204,0.9449978136208185,0.9166482252599598
30,5,BNCI2014-008,1,0.25,15,0.8665435016111708,0.8946938775510204,0.9430611652264231,0.9159585073731432
31,5,BNCI2014-008,1,0.25,16,0.866981740064447,0.8981224489795918,0.9391025047727822,0.911582051891726
32,5,BNCI2014-008,2,0.25,1,0.8475156311832213,0.8883265306122449,0.9846814290407464,0.9898331886969137
33,5,BNCI2014-008,2,0.25,2,0.8545939284300977,0.896,0.9804872440815923,0.9834743067792926
34,5,BNCI2014-008,2,0.25,3,0.856729945163661,0.8775510204081634,0.975145216261218,0.9821714755397427
35,5,BNCI2014-008,2,0.25,4,0.8567136638588952,0.8724897959183674,0.9704073217688154,0.9781915796958304
36,5,BNCI2014-008,2,0.25,5,0.8577353157329414,0.8817959183673469,0.9649800486176576,0.9728457287217355
37,5,BNCI2014-008,2,0.25,6,0.8590400814065238,0.8933877551020408,0.9640532654381057,0.9729528005940199
