,subject,dataset,fold,theta,n_blocks,train_score,test_score,train_mse,test_mse
0,1,BNCI2014-008,0,0.025,1,0.8305184012663238,0.7549387755102042,0.9987409632138667,1.0168745945755884
1,1,BNCI2014-008,0,0.025,2,0.8303139804398215,0.7541224489795919,0.9980688035418976,1.0168715464954874
2,1,BNCI2014-008,0,0.025,3,0.8531385606874328,0.7959183673469388,0.9971623211621211,1.016230469658437
3,1,BNCI2014-008,0,0.025,4,0.8532050426818927,0.7951020408163265,0.9968970800855207,1.0160340612146757
4,1,BNCI2014-008,0,0.025,5,0.8698454406693427,0.7888979591836734,0.9962215340451298,1.0163110334273722
5,1,BNCI2014-008,0,0.025,6,0.8728249194414609,0.7898775510204081,0.9949298658400509,1.0161595299246602
6,1,BNCI2014-008,0,0.025,7,0.8777387076714341,0.7877551020408163,0.9941975672801663,1.0153078639789679
7,1,BNCI2014-008,0,0.025,8,0.8869561874611339,0.7890612244897959,0.9917229406497879,1.0130235748304284
8,1,BNCI2014-008,0,0.025,9,0.8888778336819493,0.7980408163265307,0.9900149371786989,1.0117825336056459
9,1,BNCI2014-008,0,0.025,10,0.8889786873198032,0.7988571428571429,0.9898113674931919,1.0116661387585977
10,1,BNCI2014-008,0,0.025,11,0.8889682853750918,0.7986938775510204,0.9894748499095718,1.0116447078935227
11,1,BNCI2014-008,0,0.025,12,0.8890148679970603,0.7990204081632652,0.9892387739030811,1.0111916747041838
12,1,BNCI2014-008,0,0.025,13,0.889713607326587,0.7913469387755101,0.9887603685103044,1.0109288710956468
13,1,BNCI2014-008,0,0.025,14,0.88971858216971,0.7913469387755102,0.9878312731764044,1.0096697220905355
14,1,BNCI2014-008,0,0.025,15,0.8915081689185369,0.7893877551020408,0.9861311301006798,1.0096144018800415
15,1,BNCI2014-008,0,0.025,16,0.89147515405054,0.788734693877551,0.9841624613088997,1.0060376513209432
16,1,BNCI2014-008,1,0.025,1,0.8276791226185765,0.8164897959183675,0.9987151073770015,1.0348887074447157
17,1,BNCI2014-008,1,0.025,2,0.8276144496579796,0.8171428571428572,0.9980273791827527,1.0349127849223694
18,1,BNCI2014-008,1,0.025,3,0.850601390694782,0.829061224489796,0.9972954553849335,1.0347212650137945
19,1,BNCI2014-008,1,0.025,4,0.8506439029905593,0.8287346938775509,0.9970391338316551,1.0344098750692696
20,1,BNCI2014-008,1,0.025,5,0.8645730114760586,0.8538775510204081,0.9957774390684571,1.0328732530539257
21,1,BNCI2014-008,1,0.025,6,0.8646580360676127,0.8540408163265306,0.9954539334617836,1.0325841245431338
22,1,BNCI2014-008,1,0.025,7,0.8742590310362371,0.8804897959183673,0.9945313219741302,1.032155054578659
23,1,BNCI2014-008,1,0.025,8,0.8822300864944315,0.894204081632653,0.9919475922611479,1.0285371831062955
24,1,BNCI2014-008,1,0.025,9,0.8852914240488439,0.888326530612245,0.9903792691736168,1.0264182567633784
25,1,BNCI2014-008,1,0.025,10,0.8852855446887896,0.8878367346938775,0.9899446967925483,1.0260351230541296
26,1,BNCI2014-008,1,0.025,11,0.8855948894793375,0.8919183673469387,0.9872163240887923,1.0244061990016393
27,1,BNCI2014-008,1,0.025,12,0.885778506416417,0.8935510204081633,0.9862706719021819,1.0231628393940078
28,1,BNCI2014-008,1,0.025,13,0.8864315676409068,0.8938775510204081,0.9854824439225857,1.0228655140471608
29,1,BNCI2014-008,1,0.025,14,0.8864424218440838,0.894204081632653,0.985255798765514,1.0226695183495103
30,1,BNCI2014-008,1,0.025,15,0.8867422692068517,0.8953469387755102,0.9837554789190797,1.020695231762879
31,1,BNCI2014-008,1,0.025,16,0.8891659223246086,0.8920816326530613,0.9830723926077785,1.0203498590371045
32,1,BNCI2014-008,2,0.025,1,0.8290087625077731,0.7939591836734695,0.9987342406583081,1.0363278512236012
33,1,BNCI2014-008,2,0.025,2,0.8290521793204816,0.7937959183673469,0.9979991133767832,1.0358768108587255
34,1,BNCI2014-008,2,0.025,3,0.8516868110124935,0.7898775510204081,0.9971045958865562,1.0355321301029914
35,1,BNCI2014-008,2,0.025,4,0.8517342981513935,0.7913469387755103,0.9968576230170942,1.035325312452798
36,1,BNCI2014-008,2,0.025,5,0.8672083215557691,0.7996734693877552,0.9961760363785073,1.0350527840791395
37,1,BNCI2014-008,2,0.025,6,0.8672264118943978,0.7998367346938775,0.9958468758985011,1.0347284890180635
38,1,BNCI2014-008,2,0.025,7,0.8762571089377581,0.8022857142857144,0.9950452758278292,1.033853492150496
39,1,BNCI2014-008,2,0.025,8,0.8844637910565889,0.8124081632653061,0.9910022762920072,1.03105726923384
40,1,BNCI2014-008,2,0.025,9,0.8869240771100684,0.8200816326530612,0.9891091410221552,1.0283226286983422
41,1,BNCI2014-008,2,0.025,10,0.8873053309966649,0.8182857142857143,0.9884507435103556,1.027789604490263
42,1,BNCI2014-008,2,0.025,11,0.8872071909096049,0.8156734693877551,0.9872821024213265,1.0264779963478756
43,1,BNCI2014-008,2,0.025,12,0.887242919328396,0.8158367346938775,0.9844964930929822,1.0246963305244916
44,1,BNCI2014-008,2,0.025,13,0.8877892475549778,0.8220408163265306,0.9748362797741182,1.0118097359857752
45,1,BNCI2014-008,2,0.025,14,0.8884404997456047,0.822857142857143,0.9735896524662644,1.0098227550262224
46,1,BNCI2014-008,2,0.025,15,0.8893459211939625,0.8257959183673469,0.972758315353907,1.0092588638229585
47,1,BNCI2014-008,2,0.025,16,0.8893490870032222,0.8256326530612245,0.9712917828872893,1.009284612902088
48,1,BNCI2014-008,3,0.025,1,0.8239859799875628,0.889795918367347,0.9987180372697754,0.935331168218591
49,1,BNCI2014-008,3,0.025,2,0.8239706031997285,0.888,0.9979725147565445,0.9350203293135958
50,1,BNCI2014-008,3,0.025,3,0.848345073209339,0.8925714285714286,0.9970438960547336,0.9355638864501074
51,1,BNCI2014-008,3,0.025,4,0.8484291932839618,0.8925714285714286,0.9968121833800371,0.9353817160967236
52,1,BNCI2014-008,3,0.025,5,0.8626974956187461,0.9252244897959183,0.9960946561104869,0.9343256936549067
53,1,BNCI2014-008,3,0.025,6,0.8627291537113461,0.9263673469387756,0.9957578252877554,0.9341383339029782
54,1,BNCI2014-008,3,0.025,7,0.8717869862626493,0.9379591836734693,0.9947296842143697,0.9330131838586051
55,1,BNCI2014-008,3,0.025,8,0.8802772344394821,0.9307755102040817,0.9907162233611648,0.9295839021038701
56,1,BNCI2014-008,3,0.025,9,0.8803875855051162,0.9302857142857143,0.9900834933654503,0.9288138112185955
57,1,BNCI2014-008,3,0.025,10,0.8824951099553394,0.9296326530612246,0.9875881140813796,0.9272706705086401
58,1,BNCI2014-008,3,0.025,11,0.8824127989145796,0.9317551020408164,0.9860530187020442,0.9246638412682883
59,1,BNCI2014-008,3,0.025,12,0.883011589123184,0.9301224489795918,0.9854938445205591,0.9239950618324771
60,1,BNCI2014-008,3,0.025,13,0.8839916332183843,0.9340408163265306,0.9827055405963606,0.9224612285056866
61,1,BNCI2014-008,3,0.025,14,0.883900729266776,0.9355102040816327,0.9820578761616036,0.9233577725752938
62,1,BNCI2014-008,3,0.025,15,0.8856057436825145,0.9338775510204083,0.9807400892483025,0.9226792853542054
63,1,BNCI2014-008,3,0.025,16,0.8860932783085533,0.9377959183673469,0.9800269176254286,0.9231239304795263
64,1,BNCI2014-008,4,0.025,1,0.8281250494657696,0.8318367346938775,0.9987272557037792,1.0613126287565282
65,1,BNCI2014-008,4,0.025,2,0.8280594719882414,0.8329795918367348,0.9980674524529547,1.0607866949328668
66,1,BNCI2014-008,4,0.025,3,0.8526455989598054,0.8315102040816327,0.9973759229925615,1.0589875008065601
67,1,BNCI2014-008,4,0.025,4,0.8626608626830233,0.8362448979591837,0.9958784169631826,1.0573014922486237
68,1,BNCI2014-008,4,0.025,5,0.8658863700604896,0.8435918367346938,0.9954593884408481,1.0571094727953838
69,1,BNCI2014-008,4,0.025,6,0.8745208886878851,0.8386938775510204,0.9944415759383739,1.055829545514416
70,1,BNCI2014-008,4,0.025,7,0.8813721521849738,0.8133877551020408,0.9921940992464473,1.0532402750463492
71,1,BNCI2014-008,4,0.025,8,0.8824313415116738,0.8146938775510204,0.9907301888243866,1.0523144541470675
72,1,BNCI2014-008,4,0.025,9,0.8827162643450731,0.8128979591836735,0.9905926320640939,1.0524833689293025
