,subject,dataset,fold,theta,n_blocks,train_score,test_score,train_mse,test_mse
0,2,BNCI2014-008,0,0.6,1,0.6806901464186783,0.7167346938775511,0.9769673360803918,1.1965191357510316
1,2,BNCI2014-008,0,0.6,2,0.705333710215388,0.6979591836734693,0.9605925563671367,1.1720558537562555
2,2,BNCI2014-008,0,0.6,3,0.7504849341398608,0.7322448979591837,0.9337105634919829,1.144834854411222
3,2,BNCI2014-008,0,0.6,4,0.7791956583187292,0.7520000000000001,0.91445311698813,1.1191498533756246
4,2,BNCI2014-008,0,0.6,5,0.7954425914410085,0.780734693877551,0.902794301498143,1.1152688692804864
5,2,BNCI2014-008,0,0.6,6,0.8036239470857595,0.7776326530612245,0.8986296389335293,1.1122277063713992
6,2,BNCI2014-008,0,0.6,7,0.8056708689015772,0.7774693877551022,0.8953704602107694,1.1119847626729342
7,2,BNCI2014-008,0,0.6,8,0.8108641528633616,0.7637551020408163,0.8879196713575259,1.10948843144074
8,2,BNCI2014-008,0,0.6,9,0.8128794165865794,0.7642448979591837,0.8862951277675355,1.1101488835113822
9,2,BNCI2014-008,0,0.6,10,0.8140141330770535,0.7660408163265306,0.881756617609521,1.098832204839874
10,2,BNCI2014-008,0,0.6,11,0.8152754819379276,0.7681632653061224,0.8788127644180802,1.0915263217940354
11,2,BNCI2014-008,0,0.6,12,0.8161392956074397,0.767673469387755,0.8725805589923461,1.0841276539187576
12,2,BNCI2014-008,0,0.6,13,0.8166535134829556,0.7684897959183673,0.8689996782156446,1.0743099259780398
13,2,BNCI2014-008,0,0.6,14,0.8170668777206174,0.7699591836734694,0.8660334569215016,1.0709448462685711
14,2,BNCI2014-008,0,0.6,15,0.8173486347447566,0.7689795918367347,0.8635114545771931,1.0787905254746777
15,2,BNCI2014-008,0,0.6,16,0.8176331053196901,0.7696326530612245,0.8604648541662702,1.063004261080511
16,2,BNCI2014-008,0,0.6,17,0.8179542088303466,0.7704489795918367,0.8551537682722281,1.0643414762265073
17,2,BNCI2014-008,0,0.6,18,0.8182698852394144,0.7715918367346939,0.8523437433631705,1.0591273429058075
18,2,BNCI2014-008,0,0.6,19,0.8185692803437165,0.7725714285714286,0.8480017335569601,1.0542510723917908
19,2,BNCI2014-008,0,0.6,20,0.8189066651591385,0.7738775510204081,0.845391717990479,1.050169805868404
20,2,BNCI2014-008,0,0.6,21,0.8193969133359715,0.7743673469387755,0.8426168172806522,1.046437726216365
21,2,BNCI2014-008,0,0.6,22,0.8202688676578664,0.7735510204081633,0.8409880357203856,1.0454691852100628
22,2,BNCI2014-008,0,0.6,23,0.8206302221719713,0.7732244897959184,0.8396708876232184,1.0417523321045343
