,subject,dataset,fold,theta,n_blocks,train_score,test_score,train_mse,test_mse
0,3,BNCI2014-008,0,0.9,1,0.840534569506473,0.7988571428571428,0.9650885364905374,0.9830790657128815
1,3,BNCI2014-008,0,0.9,2,0.8673530442647972,0.8132244897959183,0.9490824312011977,0.9746074244723743
2,3,BNCI2014-008,0,0.9,3,0.8707196562835661,0.8171428571428571,0.9320158202278671,0.9645519368149883
3,3,BNCI2014-008,0,0.9,4,0.8772742382271467,0.8264489795918368,0.916781931159009,0.9521036938478653
4,3,BNCI2014-008,0,0.9,5,0.8953392503815931,0.8328163265306122,0.8622215519445668,0.903553681118574
5,3,BNCI2014-008,0,0.9,6,0.8996890723048222,0.8409795918367348,0.8343691120675435,0.8849383205816509
6,3,BNCI2014-008,0,0.9,7,0.9019408672056081,0.8424489795918368,0.7916639962729181,0.8428049023614131
7,3,BNCI2014-008,0,0.9,8,0.9071924925094692,0.8573061224489796,0.7663743483059365,0.8245264122668645
8,3,BNCI2014-008,0,0.9,9,0.908656000904517,0.8600816326530613,0.737010498553199,0.8003931020148257
9,3,BNCI2014-008,0,0.9,10,0.9110552320651253,0.8586122448979593,0.7213404526741293,0.783530875441508
10,3,BNCI2014-008,0,0.9,11,0.9136416982305386,0.8573061224489795,0.7092267313935602,0.769225276412557
11,3,BNCI2014-008,0,0.9,12,0.9151599298999378,0.856,0.697949704411524,0.7599627792944345
12,3,BNCI2014-008,0,0.9,13,0.9161191701057152,0.854530612244898,0.6909850044357604,0.7539684293641317
13,3,BNCI2014-008,0,0.9,14,0.9166989654587597,0.8537142857142856,0.671518258156781,0.7379760239238262
14,3,BNCI2014-008,0,0.9,15,0.9173769008988636,0.8548571428571429,0.6600295107892705,0.7241320318687762
15,3,BNCI2014-008,0,0.9,16,0.92168059245859,0.856326530612245,0.6385547741544383,0.7043519433832196
16,3,BNCI2014-008,0,0.9,17,0.9227574198654531,0.854530612244898,0.6169877694881315,0.6902647123850524
17,3,BNCI2014-008,0,0.9,18,0.9238482672847533,0.8553469387755102,0.6041185485899878,0.6719283700785249
18,3,BNCI2014-008,0,0.9,19,0.924961727627339,0.8520816326530611,0.5926459414930797,0.6567312456422363
19,3,BNCI2014-008,0,0.9,20,0.9253904686528349,0.852408163265306,0.5875079503332119,0.6493247791393814
20,3,BNCI2014-008,0,0.9,21,0.9259458420487309,0.850938775510204,0.5811350253895063,0.6452771568922264
21,3,BNCI2014-008,0,0.9,22,0.9262904629996043,0.8515918367346939,0.5771949023875075,0.6420575797958771
