,subject,dataset,fold,theta,n_blocks,train_score,test_score,train_mse,test_mse
0,5,BNCI2014-008,0,0.0,1,0.8615650404206003,0.8256326530612246,0.9925518214971403,1.017803333979033
1,5,BNCI2014-008,0,0.0,2,0.8615469500819719,0.8251428571428572,0.99201261903231,1.0174219405499842
2,5,BNCI2014-008,0,0.0,3,0.8779128271807337,0.8280816326530612,0.985933753473766,1.0089528809875012
3,5,BNCI2014-008,0,0.0,4,0.87878568601956,0.8280816326530612,0.9849915795890529,1.0067505923071172
4,5,BNCI2014-008,0,0.0,5,0.8789950816891854,0.8267755102040816,0.9847244317195668,1.0064875160692175
5,5,BNCI2014-008,0,0.0,6,0.8838324382384533,0.8236734693877551,0.9839138096432463,1.0065375380817954
6,5,BNCI2014-008,0,0.0,7,0.8874726666289785,0.8215510204081632,0.9793450348761817,1.0024104863337175
7,5,BNCI2014-008,0,0.0,8,0.8921558030414382,0.8104489795918367,0.9776531103670177,0.9989592721439917
8,5,BNCI2014-008,0,0.0,9,0.8981310418904404,0.8140408163265306,0.9711997289995575,0.991394873896587
9,5,BNCI2014-008,0,0.0,10,0.8997790717394992,0.8148571428571428,0.9702870312731776,0.9919148528656785
10,5,BNCI2014-008,0,0.0,11,0.8999486686641415,0.8146938775510204,0.9698810434229945,0.9912554593475494
11,5,BNCI2014-008,0,0.0,12,0.8999409802702244,0.8150204081632654,0.9694936473532484,0.9914295701920993
12,5,BNCI2014-008,0,0.0,13,0.8999911809599187,0.8138775510204082,0.9677903879604077,0.989530041802928
13,5,BNCI2014-008,0,0.0,14,0.9003140935044378,0.8127346938775509,0.9656236793176478,0.9868757333639723
14,5,BNCI2014-008,0,0.0,15,0.9003665554864605,0.8120816326530612,0.965255090933741,0.9867226050055085
15,5,BNCI2014-008,0,0.0,16,0.9003683645203235,0.8125714285714286,0.9649954577150212,0.9867826898932152
16,5,BNCI2014-008,0,0.0,17,0.9003448470801062,0.8128979591836735,0.963953010866852,0.9857188656594505
17,5,BNCI2014-008,0,0.0,18,0.9003638419356663,0.8128979591836735,0.9627725835969253,0.9849930243615354
18,5,BNCI2014-008,0,0.0,19,0.9004841426875458,0.8122448979591836,0.961565906625134,0.9844312599236965
19,5,BNCI2014-008,0,0.0,20,0.9007604726100966,0.8128979591836735,0.9608144750666456,0.9833866322549284
20,5,BNCI2014-008,0,0.0,21,0.9006957996494996,0.8143673469387754,0.9596300060150011,0.9832007838244063
21,5,BNCI2014-008,0,0.0,22,0.9006406241166828,0.8132244897959183,0.9588734051293616,0.9829087343179381
22,5,BNCI2014-008,0,0.0,23,0.900671829950817,0.813061224489796,0.9582067207472745,0.9820232920048524
23,5,BNCI2014-008,0,0.0,24,0.9007428345299339,0.8135510204081633,0.9557742111556615,0.9816579623183532
24,5,BNCI2014-008,0,0.0,25,0.9007369551698795,0.8122448979591836,0.954779994955924,0.9811132309122782
25,5,BNCI2014-008,0,0.0,26,0.9007161512804568,0.8122448979591836,0.9512268162290191,0.9770456762128397
26,5,BNCI2014-008,0,0.0,27,0.9007582113177681,0.8128979591836734,0.950404272290775,0.9760499071408311
27,5,BNCI2014-008,0,0.0,28,0.9009060998360563,0.8124081632653061,0.9498096426375578,0.97621551088933
28,5,BNCI2014-008,0,0.0,29,0.9010173554186218,0.8117551020408164,0.949640702269489,0.9759620071715626
29,5,BNCI2014-008,0,0.0,30,0.9010526315789474,0.8119183673469387,0.9494197798209776,0.9755267039353367
30,5,BNCI2014-008,0,0.0,31,0.9010811238622873,0.8119183673469389,0.9491727497025594,0.9754310757018116
31,5,BNCI2014-008,0,0.0,32,0.9011073548532987,0.8117551020408164,0.9487825597280433,0.974909025153384
32,5,BNCI2014-008,1,0.0,1,0.8567688393917123,0.9023673469387754,0.9922956029511337,0.9610713945969891
33,5,BNCI2014-008,1,0.0,2,0.856748940019221,0.9030204081632652,0.9917922981309907,0.9604462122177712
34,5,BNCI2014-008,1,0.0,3,0.8735860704392561,0.8997551020408163,0.985773030835905,0.9540280777530041
