,subject,dataset,fold,theta,n_blocks,train_score,test_score,train_mse,test_mse
0,8,BNCI2014-008,0,0.4,1,0.9383309401322857,0.9332244897959184,0.9856259997182941,0.9773292461829359
1,8,BNCI2014-008,0,0.4,2,0.9401046978348127,0.9235918367346938,0.9644155702925433,0.9611881824389532
2,8,BNCI2014-008,0,0.4,3,0.9412629317655039,0.9262040816326531,0.9549205574686103,0.9546653990746219
3,8,BNCI2014-008,0,0.4,4,0.9461161173610719,0.947265306122449,0.9400864306132458,0.939982731595487
4,8,BNCI2014-008,0,0.4,5,0.9484922833399287,0.9484081632653061,0.9344916419311299,0.9341726649612925
5,8,BNCI2014-008,0,0.4,6,0.9498422748600825,0.9484081632653061,0.9256856112433577,0.9266529221429518
6,8,BNCI2014-008,0,0.4,7,0.9513179942337044,0.9431836734693877,0.9136298896967178,0.91392690926748
7,8,BNCI2014-008,0,0.4,8,0.9557153032958337,0.9387755102040816,0.9050577792715523,0.9080093788335438
8,8,BNCI2014-008,0,0.4,9,0.9560142461416701,0.9366530612244898,0.8987769795098638,0.9012534256173151
9,8,BNCI2014-008,0,0.4,10,0.9563407767539148,0.9377959183673469,0.891457655802128,0.8950587240923762
10,8,BNCI2014-008,0,0.4,11,0.9568255978291594,0.9382857142857143,0.8762336376930684,0.8784485259811429
11,8,BNCI2014-008,0,0.4,12,0.957018712194019,0.9400816326530612,0.8715666499041483,0.8758307485134091
12,8,BNCI2014-008,0,0.4,13,0.9576894114986715,0.942530612244898,0.8597018475814452,0.862945870506827
13,8,BNCI2014-008,0,0.4,14,0.9582461416699644,0.9430204081632653,0.8515802579494081,0.8541243551966416
14,8,BNCI2014-008,0,0.4,15,0.9612364746452597,0.942857142857143,0.8458794490817564,0.8508989981302707
15,8,BNCI2014-008,0,0.4,16,0.9616059698117474,0.9430204081632654,0.8313028313842158,0.8377826751236032
16,8,BNCI2014-008,0,0.4,17,0.9621102380010176,0.9438367346938776,0.8218260214249608,0.8288697869799859
17,8,BNCI2014-008,0,0.4,18,0.966438803776358,0.958530612244898,0.8134924478549977,0.8215872372668169
18,8,BNCI2014-008,0,0.4,19,0.9663388546554355,0.9580408163265306,0.8088317145000063,0.8179546512195395
19,8,BNCI2014-008,0,0.4,20,0.9664030753575668,0.9580408163265306,0.8074423575147893,0.8167995945517736
20,8,BNCI2014-008,0,0.4,21,0.9669037254791113,0.9613061224489796,0.7958742092670846,0.8077899476912599
21,8,BNCI2014-008,0,0.4,22,0.9668987506359884,0.9619591836734693,0.7935458909233666,0.8052814810842412
22,8,BNCI2014-008,0,0.4,23,0.966920006783877,0.9596734693877551,0.7869642491454161,0.7994767338664975
23,8,BNCI2014-008,0,0.4,24,0.9673731697665217,0.9593469387755102,0.7755985811254278,0.7844558938199865
24,8,BNCI2014-008,0,0.4,25,0.9675278421617955,0.9593469387755102,0.7630315768970436,0.7738715041823452
25,8,BNCI2014-008,0,0.4,26,0.967840805020069,0.9596734693877551,0.7544754489668098,0.7664291305554431
26,8,BNCI2014-008,0,0.4,27,0.967916332183843,0.9596734693877551,0.7466530369381572,0.7581690500988378
27,8,BNCI2014-008,0,0.4,28,0.9680791452314997,0.9603265306122449,0.7386755532336916,0.7496739590794709
28,8,BNCI2014-008,0,0.4,29,0.9681103510656339,0.9609795918367348,0.7271569662363975,0.7360283355970099
29,8,BNCI2014-008,0,0.4,30,0.9681311549550567,0.9609795918367348,0.7228620295558709,0.7336127135330656
30,8,BNCI2014-008,0,0.4,31,0.9681854259709424,0.9606530612244899,0.7183253299753536,0.7294679114087758
31,8,BNCI2014-008,0,0.4,32,0.9683446209508733,0.9604897959183674,0.7118405852813627,0.7224692436903182
32,8,BNCI2014-008,1,0.4,1,0.9395298773248912,0.9152653061224489,0.9857805219771527,0.9761770271571596
33,8,BNCI2014-008,1,0.4,2,0.9412240375374527,0.9118367346938775,0.9645579042740486,0.9564831396801915
34,8,BNCI2014-008,1,0.4,3,0.9423777488834869,0.9173877551020407,0.9535698873592879,0.9468753582398554
35,8,BNCI2014-008,1,0.4,4,0.9478903273220646,0.9417142857142857,0.9371285260623452,0.931286486678408
36,8,BNCI2014-008,1,0.4,5,0.9490851941884788,0.9438367346938776,0.9328655539309931,0.9276502310993853
37,8,BNCI2014-008,1,0.4,6,0.9493977047882866,0.9467755102040816,0.930733119440723,0.9262303699998041
38,8,BNCI2014-008,1,0.4,7,0.9534965232630447,0.9513469387755101,0.9227586253976374,0.921295923169461
39,8,BNCI2014-008,1,0.4,8,0.9541563683645203,0.9542857142857143,0.9151608201455036,0.913038934734671
40,8,BNCI2014-008,1,0.4,9,0.9550287749448809,0.9533061224489796,0.9035063242158402,0.9029127159001715
41,8,BNCI2014-008,1,0.4,10,0.9551762112047034,0.9531428571428572,0.9003026289059542,0.9018287119916006
42,8,BNCI2014-008,1,0.4,11,0.9552255073774663,0.9526530612244898,0.8985093365285538,0.9005448111312291
43,8,BNCI2014-008,1,0.4,12,0.9568242410537623,0.9551020408163265,0.8936580135348551,0.8956708358699869
44,8,BNCI2014-008,1,0.4,13,0.9568816778789079,0.9542857142857143,0.891509879999253,0.8938727945015613
45,8,BNCI2014-008,1,0.4,14,0.9615842614053932,0.9536326530612245,0.8849958410818494,0.8893873429880026
46,8,BNCI2014-008,1,0.4,15,0.9623521962801742,0.9515102040816327,0.881522198571562,0.887341120665277
47,8,BNCI2014-008,1,0.4,16,0.9624589292780825,0.9513469387755101,0.8799821934212954,0.886034183611844
48,8,BNCI2014-008,1,0.4,17,0.9642593702300866,0.9518367346938776,0.8690302366250304,0.8766140369164489
49,8,BNCI2014-008,1,0.4,18,0.9653610718525636,0.9510204081632654,0.8509101543036824,0.862428071046614
50,8,BNCI2014-008,1,0.4,19,0.965587653343886,0.9521632653061224,0.8454506339672075,0.8577561099335341
51,8,BNCI2014-008,1,0.4,20,0.9660331279326135,0.9508571428571428,0.8275176011654269,0.8437071342376989
52,8,BNCI2014-008,1,0.4,21,0.9664112160099496,0.9508571428571428,0.8164693283118157,0.8310314039468669
53,8,BNCI2014-008,1,0.4,22,0.966763977613206,0.9506938775510204,0.8113003098738695,0.8254492305929797
54,8,BNCI2014-008,1,0.4,23,0.9668982983775228,0.9518367346938775,0.8065337358236606,0.8208406946916753
55,8,BNCI2014-008,1,0.4,24,0.9669349313132455,0.9516734693877551,0.8031624686508072,0.8169501589546682
56,8,BNCI2014-008,1,0.4,25,0.9669516648764769,0.952,0.7990095470814208,0.8112152408964709
57,8,BNCI2014-008,1,0.4,26,0.9669986997569112,0.9529795918367348,0.7904551281907,0.805680655392359
58,8,BNCI2014-008,1,0.4,27,0.9670235739725253,0.9536326530612245,0.7886768276533247,0.8038552926068007
