,subject,dataset,fold,theta,n_blocks,train_score,test_score,train_mse,test_mse
0,3,BNCI2014-008,0,0.8,1,0.8570189383232518,0.8050612244897959,0.9827620852726237,1.0009697524964076
1,3,BNCI2014-008,0,0.8,2,0.8761345468935496,0.8169795918367347,0.9688093767764341,0.9932455579100685
2,3,BNCI2014-008,0,0.8,3,0.8804599468596304,0.8186122448979593,0.9559849903004436,0.982624173624325
3,3,BNCI2014-008,0,0.8,4,0.8967882865057379,0.8383673469387757,0.928750458448157,0.9616380203190499
4,3,BNCI2014-008,0,0.8,5,0.899732036859065,0.8336326530612245,0.9156855979852291,0.9473924325714579
5,3,BNCI2014-008,0,0.8,6,0.9020494092373792,0.8408163265306122,0.9039505085928591,0.9400672224821818
6,3,BNCI2014-008,0,0.8,7,0.9051632087738142,0.8391836734693877,0.8886903545859158,0.9262660432581266
7,3,BNCI2014-008,0,0.8,8,0.9086926338402398,0.8417959183673468,0.8792750341458218,0.9165945414290139
8,3,BNCI2014-008,0,0.8,9,0.9168572559217593,0.841469387755102,0.8531520281364388,0.8977366541358628
9,3,BNCI2014-008,0,0.8,10,0.9176826276216858,0.8419591836734693,0.8395955889432055,0.8864668527502052
10,3,BNCI2014-008,0,0.8,11,0.9182285035898015,0.8421224489795919,0.8333944214108673,0.8798220958206459
11,3,BNCI2014-008,0,0.8,12,0.9188838261066199,0.8419591836734694,0.8288243392027183,0.874986360339748
12,3,BNCI2014-008,0,0.8,13,0.9194676917858555,0.8411428571428571,0.8219889864010441,0.8649040976274797
13,3,BNCI2014-008,0,0.8,14,0.9202672847532365,0.843265306122449,0.800301574940517,0.8421102608346529
14,3,BNCI2014-008,0,0.8,15,0.9212373791621912,0.843265306122449,0.78856271409296,0.8328537923253869
15,3,BNCI2014-008,0,0.8,16,0.9214544632257335,0.8427755102040816,0.7801983324567485,0.8262962208725477
16,3,BNCI2014-008,0,0.8,17,0.9218013454689357,0.841469387755102,0.77037802454083,0.8179621618751027
17,3,BNCI2014-008,0,0.8,18,0.9220831024930748,0.841469387755102,0.7634878468981576,0.812292523851744
18,3,BNCI2014-008,0,0.8,19,0.9222377748883486,0.841469387755102,0.7581135193925773,0.8100467806472021
19,3,BNCI2014-008,0,0.8,20,0.9225009893153938,0.8401632653061224,0.7532964196387129,0.8047017732933002
20,3,BNCI2014-008,0,0.8,21,0.9226936514217876,0.8404897959183673,0.7500359393711672,0.8024635615937882
21,3,BNCI2014-008,0,0.8,22,0.9228790773927299,0.8403265306122449,0.7475120144871653,0.7992583394607481
22,3,BNCI2014-008,0,0.8,23,0.9230966137147378,0.8403265306122449,0.7456227630050141,0.7980266716148174
23,3,BNCI2014-008,0,0.8,24,0.9232693764486403,0.84,0.7428320962107502,0.7950736946901648
24,3,BNCI2014-008,0,0.8,25,0.9233702300864945,0.84,0.7378534726231009,0.7918678225014574
25,3,BNCI2014-008,0,0.8,26,0.9234742495336086,0.84,0.7340833471501267,0.7860724858244172
26,3,BNCI2014-008,0,0.8,27,0.9235647012267513,0.84,0.7315532202049015,0.783341303808292
27,3,BNCI2014-008,0,0.8,28,0.9237058058680536,0.8391836734693878,0.727921541209956,0.7803139850758954
28,3,BNCI2014-008,0,0.8,29,0.9238157046752218,0.8386938775510204,0.7254374258480255,0.7788247285605915
