,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.9034952,14.182683,768.0,1,0,16,1,BrainInvaders2012,HODA
1,0.9510216,60.850376,768.0,1,0,16,1,BrainInvaders2012,PARAFACDA
2,0.9430529,568.61835,768.0,1,0,16,1,BrainInvaders2012,BTTDA
