,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.8414355,67.12216,387.0,6,0,30,1,ErpCore2021-ERN,HODA
1,0.8493146,93.801056,387.0,6,0,30,1,ErpCore2021-ERN,PARAFACDA
2,0.8726481,854.4157,387.0,6,0,30,1,ErpCore2021-ERN,BTTDA
