,subject,dataset,fold,theta,n_blocks,train_score,test_score,train_mse,test_mse
0,8,BNCI2015-003,0,0.2,1,0.9122486919052017,0.8933333333333333,0.995782344293141,1.0003696529650012
1,8,BNCI2015-003,0,0.2,2,0.9134798399507541,0.8924444444444444,0.9945584788344461,0.9997408034571436
2,8,BNCI2015-003,0,0.2,3,0.9386617420744845,0.9208888888888889,0.9917237980986767,0.9965013824043072
3,8,BNCI2015-003,0,0.2,4,0.9386469682979379,0.9208888888888889,0.9903725174354866,0.9967728426853777
4,8,BNCI2015-003,0,0.2,5,0.9389399815327794,0.9262222222222222,0.9890313351242375,0.9963841268876665
5,8,BNCI2015-003,0,0.2,6,0.9472502308402586,0.9377777777777778,0.9850474485128888,0.9919135254813685
6,8,BNCI2015-003,0,0.2,7,0.9509510618651893,0.9564444444444444,0.9786314043680601,0.9783366713324586
7,8,BNCI2015-003,0,0.2,8,0.9510470914127424,0.9653333333333334,0.9779046861402345,0.9788050297573404
8,8,BNCI2015-003,0,0.2,9,0.9536940597106802,0.9706666666666667,0.9741444852066254,0.9780295412178741
9,8,BNCI2015-003,0,0.2,10,0.9537876269621421,0.9724444444444444,0.9732159310039961,0.9760905688861886
10,8,BNCI2015-003,0,0.2,11,0.9538048630347797,0.9733333333333334,0.9721638060915125,0.9756199575098498
11,8,BNCI2015-003,0,0.2,12,0.9577814712219145,0.9777777777777777,0.9632562465031903,0.9715130279563856
12,8,BNCI2015-003,0,0.2,13,0.9578701138811943,0.9786666666666666,0.9604118141947936,0.9681680978439161
13,8,BNCI2015-003,0,0.2,14,0.9579021237303784,0.975111111111111,0.9462188292768847,0.9451444496025914
14,8,BNCI2015-003,0,0.2,15,0.9607633117882426,0.9768888888888888,0.9444058739065092,0.9421030549406357
15,8,BNCI2015-003,0,0.2,16,0.9609135118497999,0.9786666666666666,0.941662064475408,0.9370670937311159
16,8,BNCI2015-003,0,0.2,17,0.9609923053247154,0.9795555555555555,0.9399999397430464,0.9366754068525449
17,8,BNCI2015-003,0,0.2,18,0.9609135118497999,0.9742222222222222,0.9391206136368248,0.9391928629292956
18,8,BNCI2015-003,0,0.2,19,0.9608765774084334,0.9742222222222222,0.9385772849983836,0.9383481699148576
19,8,BNCI2015-003,0,0.2,20,0.9611769775315482,0.9795555555555555,0.9377414294511887,0.9376683107660024
20,8,BNCI2015-003,0,0.2,21,0.961666974453678,0.9795555555555555,0.9362838769642953,0.9375538322798197
21,8,BNCI2015-003,0,0.2,22,0.9618270236995999,0.9795555555555556,0.9342190071933928,0.9358237504729665
22,8,BNCI2015-003,0,0.2,23,0.96265189289012,0.9786666666666667,0.9331121860583081,0.9342521001569501
23,8,BNCI2015-003,0,0.2,24,0.9629547553093258,0.9724444444444444,0.9299263729607552,0.9297853094844526
24,8,BNCI2015-003,0,0.2,25,0.9631024930747921,0.9724444444444444,0.9297235949674938,0.9294183977025058
25,8,BNCI2015-003,0,0.2,26,0.9631615881809789,0.9742222222222221,0.9262375872875453,0.9295433159247412
26,8,BNCI2015-003,0,0.2,27,0.9631591258848876,0.9733333333333333,0.9227411142119417,0.9238802697975016
27,8,BNCI2015-003,0,0.2,28,0.9633339489073561,0.9742222222222222,0.9215695383066372,0.9230910898265157
28,8,BNCI2015-003,0,0.2,29,0.9633044013542628,0.9742222222222222,0.9211865571156528,0.922491583928221
29,8,BNCI2015-003,0,0.2,30,0.9635333948907356,0.9742222222222222,0.9202994749920949,0.9213466963870537
30,8,BNCI2015-003,0,0.2,31,0.963895352416128,0.9742222222222222,0.914127145286922,0.9102526929306113
31,8,BNCI2015-003,0,0.2,32,0.964269621421976,0.975111111111111,0.90388987304073,0.909207134689072
32,8,BNCI2015-003,1,0.2,1,0.9082720837180671,0.9617777777777778,0.9973281711810801,0.9655288759826918
33,8,BNCI2015-003,1,0.2,2,0.9096386580486302,0.959111111111111,0.9958606108641602,0.9649067482689436
34,8,BNCI2015-003,1,0.2,3,0.9383120960295476,0.9591111111111111,0.9934110773811655,0.9584854808913329
35,8,BNCI2015-003,1,0.2,4,0.9383539550630964,0.9591111111111111,0.9920725432813927,0.9585807811209008
36,8,BNCI2015-003,1,0.2,5,0.9460732533087103,0.9564444444444444,0.990741868414782,0.9569139845256773
37,8,BNCI2015-003,1,0.2,6,0.9464204370575562,0.9591111111111111,0.990435329197455,0.9569027563062831
38,8,BNCI2015-003,1,0.2,7,0.949724838411819,0.959111111111111,0.9867075530413026,0.9540787292602083
39,8,BNCI2015-003,1,0.2,8,0.9502271468144046,0.9608888888888888,0.9858993086491946,0.9506635404652585
40,8,BNCI2015-003,1,0.2,9,0.9541643582640813,0.9582222222222222,0.9814163952278632,0.9446377269813137
41,8,BNCI2015-003,1,0.2,10,0.9592194521391196,0.9626666666666666,0.9793741528774155,0.9410044055274068
42,8,BNCI2015-003,1,0.2,11,0.960376731301939,0.9662222222222222,0.9745145986774754,0.9363495639811827
43,8,BNCI2015-003,1,0.2,12,0.960657433056325,0.9671111111111111,0.9736645338338332,0.9367153979800675
44,8,BNCI2015-003,1,0.2,13,0.9621249615266236,0.9608888888888889,0.9650925568141744,0.9392225058337748
45,8,BNCI2015-003,1,0.2,14,0.9628907356109572,0.9608888888888889,0.9612319092649959,0.9336981524332106
46,8,BNCI2015-003,1,0.2,15,0.9625755617112958,0.9644444444444444,0.9578600043458391,0.9295045485927704
47,8,BNCI2015-003,1,0.2,16,0.9629350569405971,0.9635555555555555,0.9567905196236539,0.9260046041673725
48,8,BNCI2015-003,1,0.2,17,0.9629695290858725,0.9635555555555555,0.9554850550470059,0.9252937805318813
49,8,BNCI2015-003,1,0.2,18,0.9634349030470915,0.9608888888888889,0.9535789979770097,0.9249600234177484
50,8,BNCI2015-003,1,0.2,19,0.9635284702985534,0.9608888888888889,0.9499973879834022,0.9330112840444579
51,8,BNCI2015-003,1,0.2,20,0.9637845490920283,0.968,0.9453773995257971,0.923942794791591
52,8,BNCI2015-003,1,0.2,21,0.9641711295783317,0.968,0.9438136178952623,0.9211767834581179
53,8,BNCI2015-003,1,0.2,22,0.9643484148968914,0.9662222222222223,0.9416359593295957,0.9161391633994768
54,8,BNCI2015-003,1,0.2,23,0.964693136349646,0.9662222222222222,0.9360797197376797,0.9041128773275552
