,subject,dataset,fold,theta,n_blocks,train_score,test_score,train_mse,test_mse
0,6,BNCI2015-003,0,0.8,1,0.748316405047707,0.7075555555555555,0.9918060954881494,0.9923746908530511
1,6,BNCI2015-003,0,0.8,2,0.7557131425053863,0.7182222222222223,0.9865125909803663,0.9909738967108432
2,6,BNCI2015-003,0,0.8,3,0.758288704216682,0.7191111111111111,0.9833970362047866,0.9890470285099264
3,6,BNCI2015-003,0,0.8,4,0.7983502616189597,0.7093333333333334,0.9429255954213855,0.9563469760924889
4,6,BNCI2015-003,0,0.8,5,0.8299562942443829,0.784,0.9249098708125452,0.9476843019388015
5,6,BNCI2015-003,0,0.8,6,0.84356540473992,0.76,0.8913709013859794,0.9138778299619739
6,6,BNCI2015-003,0,0.8,7,0.84528162511542,0.7431111111111111,0.8797973799324957,0.8983180640577837
7,6,BNCI2015-003,0,0.8,8,0.8548279470606341,0.7244444444444444,0.8606452530864838,0.8828625526499589
8,6,BNCI2015-003,0,0.8,9,0.8573616497383809,0.7084444444444444,0.8415612714945832,0.8714917051243732
9,6,BNCI2015-003,0,0.8,10,0.8586124961526623,0.7066666666666667,0.8293319828048417,0.8461475302850296
10,6,BNCI2015-003,0,0.8,11,0.8595580178516466,0.7075555555555555,0.822696734359745,0.8387092012702807
11,6,BNCI2015-003,0,0.8,12,0.8612422283779624,0.7066666666666667,0.8142294213427953,0.840132813820756
12,6,BNCI2015-003,0,0.8,13,0.8621335795629425,0.7066666666666667,0.8096478703481392,0.8382180141098285
13,6,BNCI2015-003,0,0.8,14,0.8630840258541089,0.7048888888888889,0.807271706853168,0.8376664589766905
14,6,BNCI2015-003,0,0.8,15,0.8639729147429978,0.696,0.80108376399857,0.8362431288118246
15,6,BNCI2015-003,0,0.8,16,0.8640935672514619,0.6906666666666668,0.7971441821999169,0.8367808779839022
16,6,BNCI2015-003,0,0.8,17,0.8655660203139427,0.6888888888888889,0.7858063676749083,0.8231716510562466
17,6,BNCI2015-003,0,0.8,18,0.8669276700523237,0.6888888888888889,0.7727096580728544,0.8144605188362537
18,6,BNCI2015-003,0,0.8,19,0.8676343490304708,0.6888888888888889,0.7603423996237779,0.7955483276467521
19,6,BNCI2015-003,0,0.8,20,0.867897814712219,0.6906666666666667,0.7541190628304095,0.790985826841237
20,6,BNCI2015-003,0,0.8,21,0.868087411511234,0.6897777777777778,0.7509230476451163,0.7881280996502092
21,6,BNCI2015-003,0,0.8,22,0.8682400738688828,0.6888888888888889,0.7445779669441667,0.788133158548283
22,6,BNCI2015-003,0,0.8,23,0.8683336411203447,0.688,0.7422672056823154,0.7895150923896755
23,6,BNCI2015-003,0,0.8,24,0.8685207756232687,0.6888888888888889,0.7408592756111615,0.7887923023660783
