,dataset,subject,session,fold,n_blocks,roc_auc_score
107,008-2014,1,session_0,3,12,0.8040102040816326
108,008-2014,1,session_0,3,13,0.8041122448979591
109,008-2014,1,session_0,3,14,0.8032346938775511
110,008-2014,1,session_0,3,15,0.8031020408163266
111,008-2014,1,session_0,3,16,0.8031326530612245
112,008-2014,1,session_0,3,17,0.8031020408163265
113,008-2014,1,session_0,3,18,0.8030408163265307
114,008-2014,1,session_0,3,19,0.803091836734694
115,008-2014,1,session_0,3,20,0.8030510204081635
116,008-2014,1,session_0,3,21,0.8030510204081633
117,008-2014,1,session_0,3,22,0.8030612244897959
118,008-2014,1,session_0,3,23,0.8025714285714287
119,008-2014,1,session_0,3,24,0.8044693877551019
120,008-2014,1,session_0,3,25,0.8044591836734692
121,008-2014,1,session_0,3,26,0.8045918367346938
122,008-2014,1,session_0,3,27,0.804561224489796
123,008-2014,1,session_0,3,28,0.8045510204081632
124,008-2014,1,session_0,3,29,0.8058571428571429
125,008-2014,1,session_0,3,30,0.8057244897959183
126,008-2014,1,session_0,3,31,0.8057040816326531
127,008-2014,1,session_0,3,32,0.8056938775510205
128,008-2014,1,session_0,4,1,0.8439795918367347
129,008-2014,1,session_0,4,2,0.8396428571428571
130,008-2014,1,session_0,4,3,0.8440408163265306
131,008-2014,1,session_0,4,4,0.8397755102040817
132,008-2014,1,session_0,4,5,0.8428367346938774
133,008-2014,1,session_0,4,6,0.8424081632653061
134,008-2014,1,session_0,4,7,0.8423571428571429
135,008-2014,1,session_0,4,8,0.8423469387755103
136,008-2014,1,session_0,4,9,0.8428163265306123
137,008-2014,1,session_0,4,10,0.8425102040816327
138,008-2014,1,session_0,4,11,0.8425714285714286
139,008-2014,1,session_0,4,12,0.8425510204081633
140,008-2014,1,session_0,4,13,0.8425714285714286
141,008-2014,1,session_0,4,14,0.8424489795918367
142,008-2014,1,session_0,4,15,0.8423163265306123
143,008-2014,1,session_0,4,16,0.8423775510204082
144,008-2014,1,session_0,4,17,0.842326530612245
145,008-2014,1,session_0,4,18,0.8423163265306123
146,008-2014,1,session_0,4,19,0.8423469387755103
147,008-2014,1,session_0,4,20,0.8422857142857143
148,008-2014,1,session_0,4,21,0.8423673469387755
149,008-2014,1,session_0,4,22,0.842969387755102
150,008-2014,1,session_0,4,23,0.8429285714285714
151,008-2014,1,session_0,4,24,0.8431020408163266
152,008-2014,1,session_0,4,25,0.843
153,008-2014,1,session_0,4,26,0.8423061224489796
154,008-2014,1,session_0,4,27,0.8421632653061224
155,008-2014,1,session_0,4,28,0.8421224489795918
156,008-2014,1,session_0,4,29,0.8424081632653061
157,008-2014,1,session_0,4,30,0.8415714285714285
158,008-2014,1,session_0,4,31,0.8414591836734694
159,008-2014,1,session_0,4,32,0.8415204081632653
160,009-2014,1,session_0,0,1,0.9510416666666668
161,009-2014,1,session_0,0,2,0.9348958333333334
162,009-2014,1,session_0,0,3,0.9276041666666668
163,009-2014,1,session_0,0,4,0.9177083333333332
164,009-2014,1,session_0,0,5,0.9125
165,009-2014,1,session_0,0,6,0.9083333333333333
166,009-2014,1,session_0,0,7,0.9078125
167,009-2014,1,session_0,0,8,0.9156249999999999
168,009-2014,1,session_0,0,9,0.9151041666666666
169,009-2014,1,session_0,0,10,0.9151041666666666
170,009-2014,1,session_0,0,11,0.9208333333333333
171,009-2014,1,session_0,0,12,0.91875
172,009-2014,1,session_0,0,13,0.9145833333333333
173,009-2014,1,session_0,0,14,0.9140625
174,009-2014,1,session_0,0,15,0.9140625
175,009-2014,1,session_0,0,16,0.9145833333333333
176,009-2014,1,session_0,0,17,0.9135416666666667
177,009-2014,1,session_0,0,18,0.9083333333333333
178,009-2014,1,session_0,0,19,0.9083333333333333
179,009-2014,1,session_0,0,20,0.9067708333333333
180,009-2014,1,session_0,0,21,0.9078125
