,dataset,subject,session,fold,n_blocks,roc_auc_score
540,009-2014,1,session_2,1,29,0.9605263157894737
541,009-2014,1,session_2,1,30,0.9605263157894737
542,009-2014,1,session_2,1,31,0.9610745614035088
543,009-2014,1,session_2,1,32,0.9610745614035088
544,009-2014,1,session_2,2,1,0.9846491228070176
545,009-2014,1,session_2,2,2,0.9731359649122807
546,009-2014,1,session_2,2,3,0.975328947368421
547,009-2014,1,session_2,2,4,0.9780701754385965
548,009-2014,1,session_2,2,5,0.9725877192982456
549,009-2014,1,session_2,2,6,0.9703947368421053
550,009-2014,1,session_2,2,7,0.9692982456140351
551,009-2014,1,session_2,2,8,0.9736842105263157
552,009-2014,1,session_2,2,9,0.9742324561403509
553,009-2014,1,session_2,2,10,0.975328947368421
554,009-2014,1,session_2,2,11,0.975328947368421
555,009-2014,1,session_2,2,12,0.975328947368421
556,009-2014,1,session_2,2,13,0.9742324561403509
557,009-2014,1,session_2,2,14,0.9742324561403509
558,009-2014,1,session_2,2,15,0.9742324561403509
559,009-2014,1,session_2,2,16,0.9742324561403509
560,009-2014,1,session_2,2,17,0.9742324561403509
561,009-2014,1,session_2,2,18,0.9742324561403508
562,009-2014,1,session_2,2,19,0.9742324561403508
563,009-2014,1,session_2,2,20,0.9736842105263158
564,009-2014,1,session_2,2,21,0.9736842105263158
565,009-2014,1,session_2,2,22,0.9736842105263158
566,009-2014,1,session_2,2,23,0.9736842105263158
567,009-2014,1,session_2,2,24,0.9736842105263158
568,009-2014,1,session_2,2,25,0.9736842105263158
569,009-2014,1,session_2,2,26,0.9736842105263158
570,009-2014,1,session_2,2,27,0.9731359649122807
571,009-2014,1,session_2,2,28,0.9731359649122807
572,009-2014,1,session_2,2,29,0.9731359649122807
573,009-2014,1,session_2,2,30,0.9731359649122807
574,009-2014,1,session_2,2,31,0.9736842105263158
575,009-2014,1,session_2,2,32,0.9736842105263158
576,009-2014,1,session_2,3,1,0.9375
577,009-2014,1,session_2,3,2,0.9402412280701754
578,009-2014,1,session_2,3,3,0.9490131578947368
579,009-2014,1,session_2,3,4,0.9303728070175439
580,009-2014,1,session_2,3,5,0.9270833333333334
581,009-2014,1,session_2,3,6,0.918859649122807
582,009-2014,1,session_2,3,7,0.9183114035087719
583,009-2014,1,session_2,3,8,0.918859649122807
584,009-2014,1,session_2,3,9,0.9188596491228069
585,009-2014,1,session_2,3,10,0.9177631578947368
586,009-2014,1,session_2,3,11,0.9194078947368421
587,009-2014,1,session_2,3,12,0.9199561403508771
588,009-2014,1,session_2,3,13,0.9221491228070174
589,009-2014,1,session_2,3,14,0.9216008771929824
590,009-2014,1,session_2,3,15,0.9232456140350878
591,009-2014,1,session_2,3,16,0.9216008771929824
592,009-2014,1,session_2,3,17,0.9216008771929824
593,009-2014,1,session_2,3,18,0.9216008771929824
594,009-2014,1,session_2,3,19,0.9221491228070176
595,009-2014,1,session_2,3,20,0.9226973684210525
596,009-2014,1,session_2,3,21,0.9232456140350876
597,009-2014,1,session_2,3,22,0.9226973684210525
598,009-2014,1,session_2,3,23,0.9226973684210525
599,009-2014,1,session_2,3,24,0.9226973684210525
600,009-2014,1,session_2,3,25,0.9226973684210525
601,009-2014,1,session_2,3,26,0.9232456140350876
602,009-2014,1,session_2,3,27,0.9232456140350876
603,009-2014,1,session_2,3,28,0.9232456140350876
604,009-2014,1,session_2,3,29,0.9232456140350876
605,009-2014,1,session_2,3,30,0.9226973684210525
606,009-2014,1,session_2,3,31,0.9232456140350876
607,009-2014,1,session_2,3,32,0.9226973684210525
608,009-2014,1,session_2,4,1,0.9725877192982456
609,009-2014,1,session_2,4,2,0.9764254385964912
610,009-2014,1,session_2,4,3,0.9764254385964912
611,009-2014,1,session_2,4,4,0.9764254385964912
612,009-2014,1,session_2,4,5,0.9758771929824561
613,009-2014,1,session_2,4,6,0.9769736842105263
614,009-2014,1,session_2,4,7,0.9769736842105263
615,009-2014,1,session_2,4,8,0.9769736842105263
616,009-2014,1,session_2,4,9,0.9769736842105263
617,009-2014,1,session_2,4,10,0.9775219298245614
618,009-2014,1,session_2,4,11,0.9764254385964912
619,009-2014,1,session_2,4,12,0.9808114035087719
620,009-2014,1,session_2,4,13,0.9841008771929824
621,009-2014,1,session_2,4,14,0.9835526315789473
622,009-2014,1,session_2,4,15,0.9841008771929824
623,009-2014,1,session_2,4,16,0.9841008771929824
624,009-2014,1,session_2,4,17,0.9835526315789473
625,009-2014,1,session_2,4,18,0.9824561403508772
626,009-2014,1,session_2,4,19,0.9736842105263158
627,009-2014,1,session_2,4,20,0.975328947368421
628,009-2014,1,session_2,4,21,0.975328947368421
629,009-2014,1,session_2,4,22,0.9758771929824561
630,009-2014,1,session_2,4,23,0.9698464912280702
631,009-2014,1,session_2,4,24,0.9692982456140351
632,009-2014,1,session_2,4,25,0.9703947368421052
633,009-2014,1,session_2,4,26,0.9703947368421052
634,009-2014,1,session_2,4,27,0.9692982456140351
635,009-2014,1,session_2,4,28,0.96875
636,009-2014,1,session_2,4,29,0.96875
637,009-2014,1,session_2,4,30,0.9692982456140351
638,009-2014,1,session_2,4,31,0.9671052631578948
639,009-2014,1,session_2,4,32,0.9638157894736843
