,block,rank,fold,train_score,val_score,n_features,test_score,dataset,subject,session
50,0,"(2, 2, 2)",0,0.868421052631579,0.65,8,0.5416666666666666,BNCI2014-004,1,1train
51,0,"(2, 2, 2)",1,0.8441558441558441,0.8421052631578947,8,0.8333333333333334,BNCI2014-004,1,1train
52,0,"(2, 2, 2)",2,0.8441558441558441,0.631578947368421,8,0.8333333333333334,BNCI2014-004,1,1train
53,0,"(2, 2, 2)",3,0.8311688311688312,0.7894736842105263,8,0.7916666666666666,BNCI2014-004,1,1train
54,0,"(2, 2, 2)",4,0.8961038961038961,0.42105263157894735,8,0.75,BNCI2014-004,1,1train
55,1,"(3, 4, 4)",0,0.9473684210526315,0.75,56,0.625,BNCI2014-004,1,1train
56,1,"(3, 4, 4)",1,0.961038961038961,0.7894736842105263,56,0.8333333333333334,BNCI2014-004,1,1train
57,1,"(3, 4, 4)",2,0.935064935064935,0.631578947368421,56,0.8333333333333334,BNCI2014-004,1,1train
58,1,"(3, 4, 4)",3,0.922077922077922,0.7368421052631579,56,0.8333333333333334,BNCI2014-004,1,1train
59,1,"(3, 4, 4)",4,0.961038961038961,0.42105263157894735,56,0.6666666666666666,BNCI2014-004,1,1train
60,2,"(3, 4, 18)",0,0.9736842105263158,0.7,272,0.7083333333333334,BNCI2014-004,1,1train
61,2,"(3, 4, 18)",1,0.974025974025974,0.7894736842105263,272,0.75,BNCI2014-004,1,1train
62,2,"(3, 4, 18)",2,0.935064935064935,0.631578947368421,272,0.7916666666666666,BNCI2014-004,1,1train
63,2,"(3, 4, 18)",3,0.961038961038961,0.7368421052631579,272,0.5833333333333334,BNCI2014-004,1,1train
64,2,"(3, 4, 18)",4,0.961038961038961,0.47368421052631576,272,0.7083333333333334,BNCI2014-004,1,1train
65,3,"(3, 4, 16)",0,0.9868421052631579,0.7,464,0.7083333333333334,BNCI2014-004,1,1train
66,3,"(3, 4, 16)",1,0.961038961038961,0.7894736842105263,464,0.75,BNCI2014-004,1,1train
67,3,"(3, 4, 16)",2,0.948051948051948,0.5789473684210527,464,0.7916666666666666,BNCI2014-004,1,1train
68,3,"(3, 4, 16)",3,0.948051948051948,0.7894736842105263,464,0.625,BNCI2014-004,1,1train
69,3,"(3, 4, 16)",4,0.987012987012987,0.5263157894736842,464,0.6666666666666666,BNCI2014-004,1,1train
70,4,"(3, 4, 8)",0,0.9868421052631579,0.65,560,0.6666666666666666,BNCI2014-004,1,1train
