,index,block,rank,F_tr,F_rt,log_loss,mse,nmse,dataset,subject,session
16,6,7,"(3, 4, 8)",0.00015324786177807457,0.1622936063534493,0.004745273384074442,0.00016216097140442023,0.0001621609714044203,BNCI2014-004,1,1train
17,7,8,"(3, 4, 16)",0.00015324811528332047,0.1957027888476619,0.0010735687348221812,0.00011981721998018994,0.00011981721998018998,BNCI2014-004,1,1train
18,8,9,"(3, 4, 16)",0.00015324816801204184,0.22780308406532043,0.00025351034648298974,6.778890647277128e-05,6.778890647277131e-05,BNCI2014-004,1,1train
19,9,10,"(3, 4, 4)",0.00015324821462951707,0.23567896531200838,0.0001753805439584534,5.111213143896828e-05,5.11121314389683e-05,BNCI2014-004,1,1train
20,0,1,"(1, 1, 1)",0.009878546217373997,0.01951012877931365,0.24334929649064208,0.9698168683943434,0.9698168683943432,BNCI2014-004,1,2train
21,1,2,"(3, 4, 4)",0.0006439406626997527,0.04156230186363145,0.10444765475698796,0.7571238470833703,0.7571238470833701,BNCI2014-004,1,2train
22,2,3,"(3, 4, 18)",0.0001379003701247433,0.06829007784954805,0.028686245055833597,0.0005151444173482483,0.0005151444173482482,BNCI2014-004,1,2train
23,3,4,"(3, 4, 18)",0.00013788651972693284,0.1005755686726369,0.0064100891077104784,2.7446862639961436e-07,2.744686263996143e-07,BNCI2014-004,1,2train
24,4,5,"(1, 1, 1)",0.00013788652028940757,0.10070516967515063,0.007389694015906179,2.7379060262782297e-07,2.737906026278229e-07,BNCI2014-004,1,2train
25,5,6,"(3, 4, 16)",0.00013788649565647345,0.1236243174055704,0.002177030903935919,5.4032240805041634e-08,5.403224080504162e-08,BNCI2014-004,1,2train
26,6,7,"(1, 1, 1)",0.0001378864956579409,0.12373530130199213,0.0019639783017780495,5.304870407838832e-08,5.3048704078388306e-08,BNCI2014-004,1,2train
27,7,8,"(1, 1, 1)",0.00013788649567613218,0.12384621335685793,0.0019254608872418602,5.2779938172915556e-08,5.277993817291554e-08,BNCI2014-004,1,2train
28,8,9,"(1, 1, 1)",0.00013788649567728043,0.1239570537248406,0.0017336720051822,5.1761942835360746e-08,5.176194283536073e-08,BNCI2014-004,1,2train
29,9,10,"(1, 1, 1)",0.00013788649568758285,0.12406782260559052,0.0018942606777800249,5.006290086547765e-08,5.0062900865477637e-08,BNCI2014-004,1,2train
30,0,1,"(3, 4, 4)",0.0006150657063176508,0.041238805622651496,0.12958011784577622,0.7280016087893957,0.7280016087893957,BNCI2014-004,1,3test
31,1,2,"(2, 2, 2)",0.0006070287034340621,0.0435664987404001,0.12257271437721524,0.7143044982987865,0.7143044982987865,BNCI2014-004,1,3test
32,2,3,"(1, 1, 1)",0.0006088032755021182,0.04421159856903971,0.11257571375065814,0.7098544087133066,0.7098544087133066,BNCI2014-004,1,3test
33,3,4,"(2, 2, 2)",0.0005904623708130897,0.046477992150440295,0.10025835189186752,0.6860379263571278,0.6860379263571278,BNCI2014-004,1,3test
34,4,5,"(1, 1, 1)",0.0005888762024941131,0.04910785679378354,0.09587658480940799,0.680314109535699,0.680314109535699,BNCI2014-004,1,3test
35,5,6,"(3, 4, 16)",0.00019151855102065313,0.06848031151895302,0.026867069600571385,0.11731086896865577,0.11731086896865577,BNCI2014-004,1,3test
36,6,7,"(1, 1, 1)",0.00019152325471861895,0.06864532348635091,0.02705005345534455,0.11706014711845682,0.11706014711845682,BNCI2014-004,1,3test
37,7,8,"(3, 4, 18)",0.00016760028094561333,0.10099103792688234,0.004548121017907392,3.2751854998930635e-05,3.2751854998930635e-05,BNCI2014-004,1,3test
38,8,9,"(3, 4, 4)",0.00016760013433922131,0.1077955544603537,0.0027752594867487134,2.6278903607898316e-05,2.6278903607898316e-05,BNCI2014-004,1,3test
39,9,10,"(1, 1, 1)",0.00016760014617177047,0.10793519838265579,0.0030299156456399636,2.6221983019339437e-05,2.6221983019339437e-05,BNCI2014-004,1,3test
40,0,1,"(1, 1, 1)",0.008920204985423142,0.017617404846210702,0.2758857746998256,0.983188216184947,0.9831882161849468,BNCI2014-004,1,4test
41,1,2,"(2, 2, 2)",0.0015565913089785428,0.02629142228082,0.20181936413573673,0.947426185104629,0.9474261851046287,BNCI2014-004,1,4test
42,2,3,"(3, 4, 16)",8.008680601299831e-05,0.035066115932373056,0.10411568072412392,0.1766430975958319,0.17664309759583188,BNCI2014-004,1,4test
43,3,4,"(1, 1, 1)",8.009174966756287e-05,0.035241288509032034,0.11374635723240116,0.17413968100791608,0.17413968100791605,BNCI2014-004,1,4test
44,4,5,"(3, 4, 18)",6.6521400340995e-05,0.06553186137959907,0.043694602690047706,5.135848231093431e-05,5.13584823109343e-05,BNCI2014-004,1,4test
45,5,6,"(1, 1, 1)",6.652147726970811e-05,0.0656686934763247,0.04984671765284266,5.107856681567532e-05,5.107856681567531e-05,BNCI2014-004,1,4test
46,6,7,"(3, 4, 4)",6.652165301316429e-05,0.07213991996912104,0.047303104476719475,4.3264893087288074e-05,4.326489308728807e-05,BNCI2014-004,1,4test
47,7,8,"(1, 1, 1)",6.652172368216051e-05,0.07227292242007213,0.04676659147811376,4.307669063783144e-05,4.3076690637831435e-05,BNCI2014-004,1,4test
48,8,9,"(3, 4, 18)",6.651921321535709e-05,0.09961409789176481,0.026842099753292437,2.1584678665239197e-08,2.1584678665239193e-08,BNCI2014-004,1,4test
49,9,10,"(3, 4, 18)",6.651921348171926e-05,0.12504716756683876,0.016116249107683008,1.8085508956606555e-12,1.808550895660655e-12,BNCI2014-004,1,4test
50,0,1,"(1, 1, 1)",0.0038931647723263025,0.0076565573855750585,0.5085802694510425,0.9850033592181763,0.9850033592181761,BNCI2014-004,2,0train
51,1,2,"(3, 4, 16)",8.676502311046383e-05,0.03215969498528392,0.21513642161610166,0.15350804878873917,0.15350804878873914,BNCI2014-004,2,0train
52,2,3,"(3, 4, 18)",7.35597367976302e-05,0.05522912956056009,0.10610225737986814,5.4359740643601834e-05,5.435974064360182e-05,BNCI2014-004,2,0train
53,3,4,"(3, 4, 18)",7.355877735055472e-05,0.07935735031065108,0.05007473707026229,5.4324054942859e-08,5.4324054942858984e-08,BNCI2014-004,2,0train
54,4,5,"(3, 4, 8)",7.355877804760988e-05,0.08972925663883763,0.03252318782405924,3.6285242429659846e-08,3.628524242965984e-08,BNCI2014-004,2,0train
55,5,6,"(3, 4, 4)",7.355877805791496e-05,0.09486272372328686,0.027973850937047594,3.197665721718343e-08,3.1976657217183426e-08,BNCI2014-004,2,0train
56,6,7,"(3, 4, 4)",7.355877804640418e-05,0.09996724889961418,0.021951553828181657,2.529356641016858e-08,2.5293566410168573e-08,BNCI2014-004,2,0train
57,7,8,"(3, 4, 18)",7.355877634959896e-05,0.12266152057174198,0.007317294205979092,1.2603267876433537e-11,1.2603267876433534e-11,BNCI2014-004,2,0train
58,8,9,"(3, 4, 8)",7.355877634977599e-05,0.13263784410894977,0.0037788269169030594,1.044440240452495e-11,1.0444402404524948e-11,BNCI2014-004,2,0train
59,9,10,"(3, 4, 16)",7.35587763494801e-05,0.15244659836406957,0.0015182426868129855,2.7391951032115847e-12,2.739195103211584e-12,BNCI2014-004,2,0train
60,0,1,"(2, 2, 2)",0.0012653426460821815,0.008471296752657918,0.49983276266900784,0.9326483814027675,0.9326483814027675,BNCI2014-004,2,1train
61,1,2,"(3, 4, 18)",0.00010208310130472941,0.041187160094558056,0.17676300722742352,0.002167438506306613,0.002167438506306613,BNCI2014-004,2,1train
62,2,3,"(3, 4, 18)",0.00010198318520934472,0.07165695830863819,0.061056988114470544,1.3108202570430823e-06,1.3108202570430823e-06,BNCI2014-004,2,1train
63,3,4,"(3, 4, 16)",0.00010198319975132203,0.09652179100426778,0.023621278905123666,3.9217082041106144e-07,3.9217082041106144e-07,BNCI2014-004,2,1train
64,4,5,"(3, 4, 18)",0.00010198316406165604,0.12342645967222775,0.005417629836123108,2.098426273342401e-10,2.098426273342401e-10,BNCI2014-004,2,1train
