,dataset,subject,session,run,fold,n_blocks,roc_auc_score
92,008-2014,2,session_0,run_0,0,13,0.8028163265306123
93,008-2014,2,session_0,run_0,0,14,0.8038673469387754
94,008-2014,2,session_0,run_0,0,15,0.804
95,008-2014,2,session_0,run_0,0,16,0.8041020408163266
96,008-2014,2,session_0,run_0,1,1,0.5856938775510203
97,008-2014,2,session_0,run_0,1,2,0.7449489795918367
98,008-2014,2,session_0,run_0,1,3,0.7880306122448979
99,008-2014,2,session_0,run_0,1,4,0.8179285714285716
100,008-2014,2,session_0,run_0,1,5,0.8168673469387756
101,008-2014,2,session_0,run_0,1,6,0.8102857142857143
102,008-2014,2,session_0,run_0,1,7,0.8112857142857143
103,008-2014,2,session_0,run_0,1,8,0.8130918367346939
104,008-2014,2,session_0,run_0,1,9,0.8133367346938776
105,008-2014,2,session_0,run_0,1,10,0.8134285714285714
106,008-2014,2,session_0,run_0,1,11,0.8137755102040817
107,008-2014,2,session_0,run_0,1,12,0.8147755102040817
108,008-2014,2,session_0,run_0,1,13,0.814704081632653
109,008-2014,2,session_0,run_0,1,14,0.8143367346938776
110,008-2014,2,session_0,run_0,1,15,0.8142448979591838
111,008-2014,2,session_0,run_0,1,16,0.8131938775510205
112,008-2014,2,session_0,run_0,2,1,0.7323265306122448
113,008-2014,2,session_0,run_0,2,2,0.8229183673469387
114,008-2014,2,session_0,run_0,2,3,0.8323673469387756
115,008-2014,2,session_0,run_0,2,4,0.8217857142857143
116,008-2014,2,session_0,run_0,2,5,0.8200000000000001
117,008-2014,2,session_0,run_0,2,6,0.8176428571428571
118,008-2014,2,session_0,run_0,2,7,0.8231632653061224
119,008-2014,2,session_0,run_0,2,8,0.8224081632653061
120,008-2014,2,session_0,run_0,2,9,0.825826530612245
121,008-2014,2,session_0,run_0,2,10,0.8265714285714286
122,008-2014,2,session_0,run_0,2,11,0.8271836734693877
123,008-2014,2,session_0,run_0,2,12,0.8272448979591838
124,008-2014,2,session_0,run_0,2,13,0.8275918367346939
125,008-2014,2,session_0,run_0,2,14,0.8254489795918367
126,008-2014,2,session_0,run_0,2,15,0.8253877551020409
127,008-2014,2,session_0,run_0,2,16,0.8256530612244898
128,008-2014,2,session_0,run_0,3,1,0.751918367346939
129,008-2014,2,session_0,run_0,3,2,0.8030306122448979
130,008-2014,2,session_0,run_0,3,3,0.8197244897959185
131,008-2014,2,session_0,run_0,3,4,0.8084795918367348
