,dataset,subject,session,run,fold,n_blocks,roc_auc_score
463,008-2014,6,session_0,run_0,3,16,0.8543367346938776
464,008-2014,6,session_0,run_0,4,1,0.8686122448979592
465,008-2014,6,session_0,run_0,4,2,0.9011326530612246
466,008-2014,6,session_0,run_0,4,3,0.9042244897959184
467,008-2014,6,session_0,run_0,4,4,0.9037857142857143
468,008-2014,6,session_0,run_0,4,5,0.9075
469,008-2014,6,session_0,run_0,4,6,0.908438775510204
470,008-2014,6,session_0,run_0,4,7,0.9088163265306123
471,008-2014,6,session_0,run_0,4,8,0.9059795918367347
472,008-2014,6,session_0,run_0,4,9,0.9058877551020408
473,008-2014,6,session_0,run_0,4,10,0.9062244897959184
474,008-2014,6,session_0,run_0,4,11,0.906204081632653
475,008-2014,6,session_0,run_0,4,12,0.9061224489795917
476,008-2014,6,session_0,run_0,4,13,0.9053979591836734
477,008-2014,6,session_0,run_0,4,14,0.9056326530612246
478,008-2014,6,session_0,run_0,4,15,0.9056632653061225
479,008-2014,6,session_0,run_0,4,16,0.9056326530612245
480,008-2014,7,session_0,run_0,0,1,0.8514489795918366
481,008-2014,7,session_0,run_0,0,2,0.8611326530612246
482,008-2014,7,session_0,run_0,0,3,0.8733979591836734
483,008-2014,7,session_0,run_0,0,4,0.871969387755102
484,008-2014,7,session_0,run_0,0,5,0.8783265306122447
485,008-2014,7,session_0,run_0,0,6,0.8789285714285714
486,008-2014,7,session_0,run_0,0,7,0.878234693877551
487,008-2014,7,session_0,run_0,0,8,0.8783775510204083
488,008-2014,7,session_0,run_0,0,9,0.8783775510204082
489,008-2014,7,session_0,run_0,0,10,0.8784693877551021
490,008-2014,7,session_0,run_0,0,11,0.8781530612244898
491,008-2014,7,session_0,run_0,0,12,0.8781326530612245
492,008-2014,7,session_0,run_0,0,13,0.8782142857142856
493,008-2014,7,session_0,run_0,0,14,0.8801734693877551
494,008-2014,7,session_0,run_0,0,15,0.8805
495,008-2014,7,session_0,run_0,0,16,0.8804897959183673
496,008-2014,7,session_0,run_0,1,1,0.7498469387755101
497,008-2014,7,session_0,run_0,1,2,0.7783673469387755
498,008-2014,7,session_0,run_0,1,3,0.7929489795918369
499,008-2014,7,session_0,run_0,1,4,0.7824489795918367
500,008-2014,7,session_0,run_0,1,5,0.7845408163265307
501,008-2014,7,session_0,run_0,1,6,0.7843163265306122
502,008-2014,7,session_0,run_0,1,7,0.7844489795918367
503,008-2014,7,session_0,run_0,1,8,0.7844183673469386
504,008-2014,7,session_0,run_0,1,9,0.7842142857142858
505,008-2014,7,session_0,run_0,1,10,0.7849897959183674
506,008-2014,7,session_0,run_0,1,11,0.7851122448979592
507,008-2014,7,session_0,run_0,1,12,0.785234693877551
508,008-2014,7,session_0,run_0,1,13,0.7851734693877552
509,008-2014,7,session_0,run_0,1,14,0.7851326530612245
510,008-2014,7,session_0,run_0,1,15,0.7869795918367347
511,008-2014,7,session_0,run_0,1,16,0.7895000000000001
512,008-2014,7,session_0,run_0,2,1,0.8398367346938775
513,008-2014,7,session_0,run_0,2,2,0.8595918367346939
514,008-2014,7,session_0,run_0,2,3,0.8666836734693877
515,008-2014,7,session_0,run_0,2,4,0.8611428571428571
516,008-2014,7,session_0,run_0,2,5,0.8549897959183673
517,008-2014,7,session_0,run_0,2,6,0.8557142857142858
518,008-2014,7,session_0,run_0,2,7,0.8560204081632652
519,008-2014,7,session_0,run_0,2,8,0.855938775510204
520,008-2014,7,session_0,run_0,2,9,0.8556224489795918
521,008-2014,7,session_0,run_0,2,10,0.8552448979591838
522,008-2014,7,session_0,run_0,2,11,0.8550306122448981
523,008-2014,7,session_0,run_0,2,12,0.8548469387755102
524,008-2014,7,session_0,run_0,2,13,0.8546020408163264
525,008-2014,7,session_0,run_0,2,14,0.8545408163265305
526,008-2014,7,session_0,run_0,2,15,0.8545102040816326
527,008-2014,7,session_0,run_0,2,16,0.8544285714285715
528,008-2014,7,session_0,run_0,3,1,0.8791836734693877
529,008-2014,7,session_0,run_0,3,2,0.8775204081632654
530,008-2014,7,session_0,run_0,3,3,0.9012142857142857
531,008-2014,7,session_0,run_0,3,4,0.9059387755102041
532,008-2014,7,session_0,run_0,3,5,0.9067551020408163
533,008-2014,7,session_0,run_0,3,6,0.907
534,008-2014,7,session_0,run_0,3,7,0.9069897959183674
535,008-2014,7,session_0,run_0,3,8,0.907061224489796
536,008-2014,7,session_0,run_0,3,9,0.9068163265306123
537,008-2014,7,session_0,run_0,3,10,0.9067346938775509
538,008-2014,7,session_0,run_0,3,11,0.9066734693877552
539,008-2014,7,session_0,run_0,3,12,0.9064795918367347
540,008-2014,7,session_0,run_0,3,13,0.9063979591836735
541,008-2014,7,session_0,run_0,3,14,0.9063673469387755
542,008-2014,7,session_0,run_0,3,15,0.9063469387755101
543,008-2014,7,session_0,run_0,3,16,0.9063367346938775
544,008-2014,7,session_0,run_0,4,1,0.8626530612244897
545,008-2014,7,session_0,run_0,4,2,0.8771530612244899
546,008-2014,7,session_0,run_0,4,3,0.8982653061224489
547,008-2014,7,session_0,run_0,4,4,0.8986632653061224
548,008-2014,7,session_0,run_0,4,5,0.8988265306122448
549,008-2014,7,session_0,run_0,4,6,0.8990510204081633
550,008-2014,7,session_0,run_0,4,7,0.8988877551020408
551,008-2014,7,session_0,run_0,4,8,0.8991836734693878
552,008-2014,7,session_0,run_0,4,9,0.8991428571428571
553,008-2014,7,session_0,run_0,4,10,0.9016938775510204
554,008-2014,7,session_0,run_0,4,11,0.9020000000000001
555,008-2014,7,session_0,run_0,4,12,0.9020714285714286
556,008-2014,7,session_0,run_0,4,13,0.9021836734693878
557,008-2014,7,session_0,run_0,4,14,0.9022142857142857
558,008-2014,7,session_0,run_0,4,15,0.9022346938775511
559,008-2014,7,session_0,run_0,4,16,0.9021836734693878
560,008-2014,8,session_0,run_0,0,1,0.924234693877551
561,008-2014,8,session_0,run_0,0,2,0.9383877551020409
562,008-2014,8,session_0,run_0,0,3,0.9446122448979591
563,008-2014,8,session_0,run_0,0,4,0.9450510204081632
564,008-2014,8,session_0,run_0,0,5,0.9453367346938776
565,008-2014,8,session_0,run_0,0,6,0.9435714285714286
566,008-2014,8,session_0,run_0,0,7,0.9437142857142857
567,008-2014,8,session_0,run_0,0,8,0.9431326530612245
568,008-2014,8,session_0,run_0,0,9,0.9430612244897959
569,008-2014,8,session_0,run_0,0,10,0.9430714285714286
570,008-2014,8,session_0,run_0,0,11,0.9432142857142857
571,008-2014,8,session_0,run_0,0,12,0.9432857142857143
572,008-2014,8,session_0,run_0,0,13,0.9433775510204081
573,008-2014,8,session_0,run_0,0,14,0.9435816326530613
574,008-2014,8,session_0,run_0,0,15,0.9435714285714286
575,008-2014,8,session_0,run_0,0,16,0.9436122448979591
576,008-2014,8,session_0,run_0,1,1,0.9440102040816326
577,008-2014,8,session_0,run_0,1,2,0.9467857142857142
578,008-2014,8,session_0,run_0,1,3,0.9470714285714286
579,008-2014,8,session_0,run_0,1,4,0.9459897959183673
580,008-2014,8,session_0,run_0,1,5,0.9471428571428572
581,008-2014,8,session_0,run_0,1,6,0.9468979591836735
582,008-2014,8,session_0,run_0,1,7,0.9456836734693878
583,008-2014,8,session_0,run_0,1,8,0.9455408163265306
584,008-2014,8,session_0,run_0,1,9,0.945561224489796
585,008-2014,8,session_0,run_0,1,10,0.9455918367346938
586,008-2014,8,session_0,run_0,1,11,0.9456938775510205
587,008-2014,8,session_0,run_0,1,12,0.9454489795918367
588,008-2014,8,session_0,run_0,1,13,0.9455204081632653
589,008-2014,8,session_0,run_0,1,14,0.9455816326530612
590,008-2014,8,session_0,run_0,1,15,0.9456224489795918
591,008-2014,8,session_0,run_0,1,16,0.9457244897959184
592,008-2014,8,session_0,run_0,2,1,0.942969387755102
593,008-2014,8,session_0,run_0,2,2,0.9538775510204082
594,008-2014,8,session_0,run_0,2,3,0.9572857142857143
595,008-2014,8,session_0,run_0,2,4,0.9581224489795919
596,008-2014,8,session_0,run_0,2,5,0.9580816326530612
597,008-2014,8,session_0,run_0,2,6,0.9579183673469388
598,008-2014,8,session_0,run_0,2,7,0.9578673469387754
599,008-2014,8,session_0,run_0,2,8,0.9578979591836734
600,008-2014,8,session_0,run_0,2,9,0.9579285714285715
601,008-2014,8,session_0,run_0,2,10,0.9579489795918367
602,008-2014,8,session_0,run_0,2,11,0.9579591836734693
603,008-2014,8,session_0,run_0,2,12,0.9579591836734693
604,008-2014,8,session_0,run_0,2,13,0.9580918367346938
605,008-2014,8,session_0,run_0,2,14,0.9581326530612244
606,008-2014,8,session_0,run_0,2,15,0.9583673469387756
607,008-2014,8,session_0,run_0,2,16,0.9584489795918368
608,008-2014,8,session_0,run_0,3,1,0.9446122448979591
609,008-2014,8,session_0,run_0,3,2,0.9568673469387754
610,008-2014,8,session_0,run_0,3,3,0.9535510204081633
611,008-2014,8,session_0,run_0,3,4,0.9520714285714287
612,008-2014,8,session_0,run_0,3,5,0.9493265306122449
613,008-2014,8,session_0,run_0,3,6,0.9492857142857143
614,008-2014,8,session_0,run_0,3,7,0.9495408163265306
615,008-2014,8,session_0,run_0,3,8,0.9482040816326531
616,008-2014,8,session_0,run_0,3,9,0.9486530612244898
617,008-2014,8,session_0,run_0,3,10,0.9484795918367346
618,008-2014,8,session_0,run_0,3,11,0.9487244897959184
619,008-2014,8,session_0,run_0,3,12,0.9487755102040817
620,008-2014,8,session_0,run_0,3,13,0.9487857142857143
621,008-2014,8,session_0,run_0,3,14,0.9487755102040816
622,008-2014,8,session_0,run_0,3,15,0.9487551020408163
623,008-2014,8,session_0,run_0,3,16,0.9488061224489795
624,008-2014,8,session_0,run_0,4,1,0.9576122448979592
625,008-2014,8,session_0,run_0,4,2,0.9590918367346939
626,008-2014,8,session_0,run_0,4,3,0.9624285714285714
627,008-2014,8,session_0,run_0,4,4,0.9640306122448979
628,008-2014,8,session_0,run_0,4,5,0.9620816326530612
629,008-2014,8,session_0,run_0,4,6,0.961938775510204
630,008-2014,8,session_0,run_0,4,7,0.9624795918367346
631,008-2014,8,session_0,run_0,4,8,0.9628979591836735
632,008-2014,8,session_0,run_0,4,9,0.9624897959183674
633,008-2014,8,session_0,run_0,4,10,0.9619183673469388
634,008-2014,8,session_0,run_0,4,11,0.9618979591836735
635,008-2014,8,session_0,run_0,4,12,0.9618775510204082
636,008-2014,8,session_0,run_0,4,13,0.9618877551020407
637,008-2014,8,session_0,run_0,4,14,0.9619591836734694
638,008-2014,8,session_0,run_0,4,15,0.9619591836734693
639,008-2014,8,session_0,run_0,4,16,0.961938775510204
640,009-2014,1,session_0,run_0,0,1,0.8833333333333333
641,009-2014,1,session_0,run_0,0,2,0.9317708333333334
642,009-2014,1,session_0,run_0,0,3,0.9161458333333332
643,009-2014,1,session_0,run_0,0,4,0.9036458333333333
644,009-2014,1,session_0,run_0,0,5,0.8885416666666667
645,009-2014,1,session_0,run_0,0,6,0.8854166666666666
646,009-2014,1,session_0,run_0,0,7,0.8864583333333333
647,009-2014,1,session_0,run_0,0,8,0.8901041666666666
648,009-2014,1,session_0,run_0,0,9,0.8854166666666666
649,009-2014,1,session_0,run_0,0,10,0.8859375
650,009-2014,1,session_0,run_0,0,11,0.8864583333333333
651,009-2014,1,session_0,run_0,0,12,0.8901041666666667
652,009-2014,1,session_0,run_0,0,13,0.8890625
653,009-2014,1,session_0,run_0,0,14,0.8901041666666667
654,009-2014,1,session_0,run_0,0,15,0.8911458333333333
655,009-2014,1,session_0,run_0,0,16,0.8921875
656,009-2014,1,session_0,run_0,1,1,0.9506578947368421
657,009-2014,1,session_0,run_0,1,2,0.9802631578947368
658,009-2014,1,session_0,run_0,1,3,0.9660087719298245
659,009-2014,1,session_0,run_0,1,4,0.9577850877192982
660,009-2014,1,session_0,run_0,1,5,0.950109649122807
661,009-2014,1,session_0,run_0,1,6,0.950657894736842
662,009-2014,1,session_0,run_0,1,7,0.9517543859649122
663,009-2014,1,session_0,run_0,1,8,0.9523026315789473
664,009-2014,1,session_0,run_0,1,9,0.9490131578947367
665,009-2014,1,session_0,run_0,1,10,0.9479166666666666
666,009-2014,1,session_0,run_0,1,11,0.9506578947368421
667,009-2014,1,session_0,run_0,1,12,0.949561403508772
668,009-2014,1,session_0,run_0,1,13,0.950109649122807
669,009-2014,1,session_0,run_0,1,14,0.9490131578947367
670,009-2014,1,session_0,run_0,1,15,0.9495614035087718
671,009-2014,1,session_0,run_0,1,16,0.9512061403508771
672,009-2014,1,session_0,run_0,2,1,0.96875
673,009-2014,1,session_0,run_0,2,2,0.9671052631578947
674,009-2014,1,session_0,run_0,2,3,0.956140350877193
675,009-2014,1,session_0,run_0,2,4,0.9588815789473685
676,009-2014,1,session_0,run_0,2,5,0.9665570175438596
677,009-2014,1,session_0,run_0,2,6,0.9599780701754386
678,009-2014,1,session_0,run_0,2,7,0.9588815789473684
679,009-2014,1,session_0,run_0,2,8,0.9599780701754386
680,009-2014,1,session_0,run_0,2,9,0.9605263157894737
681,009-2014,1,session_0,run_0,2,10,0.9605263157894737
682,009-2014,1,session_0,run_0,2,11,0.9599780701754386
683,009-2014,1,session_0,run_0,2,12,0.9599780701754386
684,009-2014,1,session_0,run_0,2,13,0.9577850877192983
685,009-2014,1,session_0,run_0,2,14,0.9588815789473685
686,009-2014,1,session_0,run_0,2,15,0.9594298245614036
687,009-2014,1,session_0,run_0,2,16,0.9594298245614036
688,009-2014,1,session_0,run_0,3,1,0.9446271929824561
689,009-2014,1,session_0,run_0,3,2,0.9725877192982457
690,009-2014,1,session_0,run_0,3,3,0.9714912280701755
691,009-2014,1,session_0,run_0,3,4,0.9747807017543859
692,009-2014,1,session_0,run_0,3,5,0.9605263157894737
693,009-2014,1,session_0,run_0,3,6,0.9594298245614035
694,009-2014,1,session_0,run_0,3,7,0.9539473684210527
695,009-2014,1,session_0,run_0,3,8,0.956140350877193
696,009-2014,1,session_0,run_0,3,9,0.9555921052631579
697,009-2014,1,session_0,run_0,3,10,0.9506578947368421
698,009-2014,1,session_0,run_0,3,11,0.9512061403508772
699,009-2014,1,session_0,run_0,3,12,0.9490131578947368
700,009-2014,1,session_0,run_0,3,13,0.950657894736842
701,009-2014,1,session_0,run_0,3,14,0.950657894736842
702,009-2014,1,session_0,run_0,3,15,0.950657894736842
703,009-2014,1,session_0,run_0,3,16,0.950657894736842
704,009-2014,1,session_0,run_0,4,1,0.8865131578947368
705,009-2014,1,session_0,run_0,4,2,0.950657894736842
706,009-2014,1,session_0,run_0,4,3,0.9517543859649122
707,009-2014,1,session_0,run_0,4,4,0.9703947368421052
708,009-2014,1,session_0,run_0,4,5,0.96875
709,009-2014,1,session_0,run_0,4,6,0.9561403508771931
710,009-2014,1,session_0,run_0,4,7,0.9424342105263158
711,009-2014,1,session_0,run_0,4,8,0.9374999999999999
712,009-2014,1,session_0,run_0,4,9,0.9342105263157894
713,009-2014,1,session_0,run_0,4,10,0.931469298245614
714,009-2014,1,session_0,run_0,4,11,0.9314692982456141
715,009-2014,1,session_0,run_0,4,12,0.9292763157894737
716,009-2014,1,session_0,run_0,4,13,0.9287280701754386
717,009-2014,1,session_0,run_0,4,14,0.925986842105263
718,009-2014,1,session_0,run_0,4,15,0.9265350877192983
719,009-2014,1,session_0,run_0,4,16,0.9265350877192982
720,009-2014,1,session_1,run_0,0,1,0.8958333333333333
721,009-2014,1,session_1,run_0,0,2,0.9072916666666666
722,009-2014,1,session_1,run_0,0,3,0.9307291666666666
723,009-2014,1,session_1,run_0,0,4,0.9208333333333334
724,009-2014,1,session_1,run_0,0,5,0.9192708333333334
725,009-2014,1,session_1,run_0,0,6,0.9177083333333333
726,009-2014,1,session_1,run_0,0,7,0.9187500000000001
727,009-2014,1,session_1,run_0,0,8,0.9135416666666667
728,009-2014,1,session_1,run_0,0,9,0.9114583333333334
729,009-2014,1,session_1,run_0,0,10,0.9140625
730,009-2014,1,session_1,run_0,0,11,0.9135416666666667
731,009-2014,1,session_1,run_0,0,12,0.9171875
732,009-2014,1,session_1,run_0,0,13,0.9125
733,009-2014,1,session_1,run_0,0,14,0.9098958333333332
734,009-2014,1,session_1,run_0,0,15,0.9114583333333333
735,009-2014,1,session_1,run_0,0,16,0.9125
736,009-2014,1,session_1,run_0,1,1,0.930921052631579
737,009-2014,1,session_1,run_0,1,2,0.9775219298245614
738,009-2014,1,session_1,run_0,1,3,0.9769736842105263
739,009-2014,1,session_1,run_0,1,4,0.9665570175438596
740,009-2014,1,session_1,run_0,1,5,0.96875
741,009-2014,1,session_1,run_0,1,6,0.9588815789473684
742,009-2014,1,session_1,run_0,1,7,0.9588815789473684
743,009-2014,1,session_1,run_0,1,8,0.9577850877192982
744,009-2014,1,session_1,run_0,1,9,0.9572368421052632
745,009-2014,1,session_1,run_0,1,10,0.9577850877192983
746,009-2014,1,session_1,run_0,1,11,0.9566885964912281
747,009-2014,1,session_1,run_0,1,12,0.9566885964912281
748,009-2014,1,session_1,run_0,1,13,0.956688596491228
749,009-2014,1,session_1,run_0,1,14,0.957236842105263
750,009-2014,1,session_1,run_0,1,15,0.957236842105263
751,009-2014,1,session_1,run_0,1,16,0.957236842105263
752,009-2014,1,session_1,run_0,2,1,0.8914473684210527
753,009-2014,1,session_1,run_0,2,2,0.8925438596491229
754,009-2014,1,session_1,run_0,2,3,0.9791666666666666
755,009-2014,1,session_1,run_0,2,4,0.981907894736842
756,009-2014,1,session_1,run_0,2,5,0.9851973684210527
757,009-2014,1,session_1,run_0,2,6,0.9862938596491229
758,009-2014,1,session_1,run_0,2,7,0.986842105263158
759,009-2014,1,session_1,run_0,2,8,0.9846491228070176
760,009-2014,1,session_1,run_0,2,9,0.9747807017543859
761,009-2014,1,session_1,run_0,2,10,0.9786184210526315
762,009-2014,1,session_1,run_0,2,11,0.9758771929824562
763,009-2014,1,session_1,run_0,2,12,0.974780701754386
764,009-2014,1,session_1,run_0,2,13,0.974780701754386
765,009-2014,1,session_1,run_0,2,14,0.9758771929824561
766,009-2014,1,session_1,run_0,2,15,0.975328947368421
767,009-2014,1,session_1,run_0,2,16,0.9747807017543859
768,009-2014,1,session_1,run_0,3,1,0.8739035087719298
769,009-2014,1,session_1,run_0,3,2,0.9638157894736843
770,009-2014,1,session_1,run_0,3,3,0.9638157894736843
771,009-2014,1,session_1,run_0,3,4,0.9786184210526315
772,009-2014,1,session_1,run_0,3,5,0.9736842105263157
773,009-2014,1,session_1,run_0,3,6,0.9714912280701755
774,009-2014,1,session_1,run_0,3,7,0.9725877192982455
775,009-2014,1,session_1,run_0,3,8,0.9714912280701755
776,009-2014,1,session_1,run_0,3,9,0.9709429824561403
777,009-2014,1,session_1,run_0,3,10,0.9703947368421053
778,009-2014,1,session_1,run_0,3,11,0.9725877192982455
779,009-2014,1,session_1,run_0,3,12,0.9725877192982456
780,009-2014,1,session_1,run_0,3,13,0.9725877192982456
781,009-2014,1,session_1,run_0,3,14,0.9709429824561403
782,009-2014,1,session_1,run_0,3,15,0.9676535087719298
783,009-2014,1,session_1,run_0,3,16,0.9676535087719298
784,009-2014,1,session_1,run_0,4,1,0.9320175438596492
785,009-2014,1,session_1,run_0,4,2,0.9457236842105262
786,009-2014,1,session_1,run_0,4,3,0.9676535087719298
787,009-2014,1,session_1,run_0,4,4,0.9375
788,009-2014,1,session_1,run_0,4,5,0.9468201754385964
789,009-2014,1,session_1,run_0,4,6,0.956688596491228
790,009-2014,1,session_1,run_0,4,7,0.9605263157894736
791,009-2014,1,session_1,run_0,4,8,0.9649122807017543
792,009-2014,1,session_1,run_0,4,9,0.9654605263157894
793,009-2014,1,session_1,run_0,4,10,0.9660087719298245
794,009-2014,1,session_1,run_0,4,11,0.9660087719298246
795,009-2014,1,session_1,run_0,4,12,0.9682017543859649
796,009-2014,1,session_1,run_0,4,13,0.9671052631578947
797,009-2014,1,session_1,run_0,4,14,0.96875
798,009-2014,1,session_1,run_0,4,15,0.9682017543859649
799,009-2014,1,session_1,run_0,4,16,0.96875
800,009-2014,1,session_2,run_0,0,1,0.9765625
801,009-2014,1,session_2,run_0,0,2,0.9640625
802,009-2014,1,session_2,run_0,0,3,0.9625
803,009-2014,1,session_2,run_0,0,4,0.9458333333333333
804,009-2014,1,session_2,run_0,0,5,0.9463541666666666
805,009-2014,1,session_2,run_0,0,6,0.9411458333333333
806,009-2014,1,session_2,run_0,0,7,0.9416666666666667
807,009-2014,1,session_2,run_0,0,8,0.9390625
808,009-2014,1,session_2,run_0,0,9,0.9390624999999999
809,009-2014,1,session_2,run_0,0,10,0.940625
810,009-2014,1,session_2,run_0,0,11,0.9354166666666667
811,009-2014,1,session_2,run_0,0,12,0.9338541666666667
812,009-2014,1,session_2,run_0,0,13,0.9291666666666667
813,009-2014,1,session_2,run_0,0,14,0.9296875
814,009-2014,1,session_2,run_0,0,15,0.9302083333333333
815,009-2014,1,session_2,run_0,0,16,0.9296875
816,009-2014,1,session_2,run_0,1,1,0.962171052631579
817,009-2014,1,session_2,run_0,1,2,0.9632675438596491
818,009-2014,1,session_2,run_0,1,3,0.9676535087719298
819,009-2014,1,session_2,run_0,1,4,0.9660087719298245
820,009-2014,1,session_2,run_0,1,5,0.9638157894736843
821,009-2014,1,session_2,run_0,1,6,0.9588815789473684
822,009-2014,1,session_2,run_0,1,7,0.9588815789473684
823,009-2014,1,session_2,run_0,1,8,0.9599780701754386
824,009-2014,1,session_2,run_0,1,9,0.962171052631579
825,009-2014,1,session_2,run_0,1,10,0.962719298245614
826,009-2014,1,session_2,run_0,1,11,0.9632675438596491
827,009-2014,1,session_2,run_0,1,12,0.962171052631579
828,009-2014,1,session_2,run_0,1,13,0.9632675438596492
829,009-2014,1,session_2,run_0,1,14,0.9643640350877194
830,009-2014,1,session_2,run_0,1,15,0.9649122807017544
831,009-2014,1,session_2,run_0,1,16,0.9665570175438596
832,009-2014,1,session_2,run_0,2,1,0.9846491228070176
833,009-2014,1,session_2,run_0,2,2,0.9720394736842106
834,009-2014,1,session_2,run_0,2,3,0.9736842105263158
835,009-2014,1,session_2,run_0,2,4,0.9720394736842105
836,009-2014,1,session_2,run_0,2,5,0.9830043859649122
837,009-2014,1,session_2,run_0,2,6,0.9791666666666666
838,009-2014,1,session_2,run_0,2,7,0.9797149122807017
839,009-2014,1,session_2,run_0,2,8,0.9808114035087719
840,009-2014,1,session_2,run_0,2,9,0.9808114035087719
841,009-2014,1,session_2,run_0,2,10,0.9802631578947368
842,009-2014,1,session_2,run_0,2,11,0.9791666666666667
843,009-2014,1,session_2,run_0,2,12,0.9775219298245614
844,009-2014,1,session_2,run_0,2,13,0.9786184210526316
845,009-2014,1,session_2,run_0,2,14,0.9797149122807018
846,009-2014,1,session_2,run_0,2,15,0.9797149122807017
847,009-2014,1,session_2,run_0,2,16,0.9808114035087719
848,009-2014,1,session_2,run_0,3,1,0.8898026315789473
849,009-2014,1,session_2,run_0,3,2,0.9424342105263158
850,009-2014,1,session_2,run_0,3,3,0.9451754385964912
851,009-2014,1,session_2,run_0,3,4,0.9479166666666666
852,009-2014,1,session_2,run_0,3,5,0.9495614035087719
853,009-2014,1,session_2,run_0,3,6,0.9484649122807017
854,009-2014,1,session_2,run_0,3,7,0.9457236842105263
855,009-2014,1,session_2,run_0,3,8,0.938048245614035
856,009-2014,1,session_2,run_0,3,9,0.9375
857,009-2014,1,session_2,run_0,3,10,0.9385964912280701
858,009-2014,1,session_2,run_0,3,11,0.9402412280701754
859,009-2014,1,session_2,run_0,3,12,0.9407894736842105
860,009-2014,1,session_2,run_0,3,13,0.9369517543859649
861,009-2014,1,session_2,run_0,3,14,0.9407894736842104
862,009-2014,1,session_2,run_0,3,15,0.9402412280701754
863,009-2014,1,session_2,run_0,3,16,0.9396929824561403
864,009-2014,1,session_2,run_0,4,1,0.9610745614035088
865,009-2014,1,session_2,run_0,4,2,0.9841008771929824
866,009-2014,1,session_2,run_0,4,3,0.9862938596491229
867,009-2014,1,session_2,run_0,4,4,0.9851973684210525
868,009-2014,1,session_2,run_0,4,5,0.9665570175438596
869,009-2014,1,session_2,run_0,4,6,0.9698464912280702
870,009-2014,1,session_2,run_0,4,7,0.9682017543859649
871,009-2014,1,session_2,run_0,4,8,0.9665570175438596
872,009-2014,1,session_2,run_0,4,9,0.9649122807017544
873,009-2014,1,session_2,run_0,4,10,0.9654605263157895
874,009-2014,1,session_2,run_0,4,11,0.9660087719298246
875,009-2014,1,session_2,run_0,4,12,0.962719298245614
876,009-2014,1,session_2,run_0,4,13,0.962171052631579
877,009-2014,1,session_2,run_0,4,14,0.9632675438596491
878,009-2014,1,session_2,run_0,4,15,0.9692982456140351
879,009-2014,1,session_2,run_0,4,16,0.9682017543859649
880,009-2014,2,session_0,run_0,0,1,0.9911458333333334
881,009-2014,2,session_0,run_0,0,2,0.9770833333333333
882,009-2014,2,session_0,run_0,0,3,0.9583333333333333
883,009-2014,2,session_0,run_0,0,4,0.9583333333333333
884,009-2014,2,session_0,run_0,0,5,0.9598958333333333
885,009-2014,2,session_0,run_0,0,6,0.9604166666666666
886,009-2014,2,session_0,run_0,0,7,0.9625
887,009-2014,2,session_0,run_0,0,8,0.9619791666666667
888,009-2014,2,session_0,run_0,0,9,0.9609375
889,009-2014,2,session_0,run_0,0,10,0.9625
890,009-2014,2,session_0,run_0,0,11,0.9619791666666667
891,009-2014,2,session_0,run_0,0,12,0.9598958333333333
892,009-2014,2,session_0,run_0,0,13,0.959375
893,009-2014,2,session_0,run_0,0,14,0.9598958333333333
894,009-2014,2,session_0,run_0,0,15,0.9583333333333334
895,009-2014,2,session_0,run_0,0,16,0.9578125000000001
896,009-2014,2,session_0,run_0,1,1,0.8810307017543859
897,009-2014,2,session_0,run_0,1,2,0.9309210526315789
898,009-2014,2,session_0,run_0,1,3,0.9385964912280702
899,009-2014,2,session_0,run_0,1,4,0.9457236842105262
900,009-2014,2,session_0,run_0,1,5,0.9407894736842106
901,009-2014,2,session_0,run_0,1,6,0.9292763157894737
902,009-2014,2,session_0,run_0,1,7,0.9396929824561404
903,009-2014,2,session_0,run_0,1,8,0.9353070175438597
904,009-2014,2,session_0,run_0,1,9,0.9320175438596492
905,009-2014,2,session_0,run_0,1,10,0.930921052631579
906,009-2014,2,session_0,run_0,1,11,0.9402412280701754
907,009-2014,2,session_0,run_0,1,12,0.9396929824561403
908,009-2014,2,session_0,run_0,1,13,0.9402412280701755
909,009-2014,2,session_0,run_0,1,14,0.9407894736842106
910,009-2014,2,session_0,run_0,1,15,0.9429824561403508
911,009-2014,2,session_0,run_0,1,16,0.9402412280701754
912,009-2014,2,session_0,run_0,2,1,0.9572368421052632
913,009-2014,2,session_0,run_0,2,2,0.9577850877192982
914,009-2014,2,session_0,run_0,2,3,0.9572368421052632
915,009-2014,2,session_0,run_0,2,4,0.9583333333333334
916,009-2014,2,session_0,run_0,2,5,0.9566885964912281
917,009-2014,2,session_0,run_0,2,6,0.9588815789473685
918,009-2014,2,session_0,run_0,2,7,0.9566885964912281
919,009-2014,2,session_0,run_0,2,8,0.9544956140350878
920,009-2014,2,session_0,run_0,2,9,0.9539473684210527
921,009-2014,2,session_0,run_0,2,10,0.9512061403508771
922,009-2014,2,session_0,run_0,2,11,0.950109649122807
923,009-2014,2,session_0,run_0,2,12,0.9506578947368421
924,009-2014,2,session_0,run_0,2,13,0.9523026315789473
925,009-2014,2,session_0,run_0,2,14,0.9550438596491228
926,009-2014,2,session_0,run_0,2,15,0.9495614035087719
927,009-2014,2,session_0,run_0,2,16,0.9490131578947368
928,009-2014,2,session_0,run_0,3,1,0.9616228070175439
929,009-2014,2,session_0,run_0,3,2,0.9347587719298246
930,009-2014,2,session_0,run_0,3,3,0.9605263157894737
931,009-2014,2,session_0,run_0,3,4,0.9533991228070176
932,009-2014,2,session_0,run_0,3,5,0.9512061403508772
